"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_0"	0	"PAWR"	250.5	"HiG"
"HiG_0"	0	"PIF1"	250.5	"HiG"
"HiG_0"	1869	"DNMT3B"	19	"HiG"
"HiG_0"	0	"BOLA3"	250.5	"HiG"
"HiG_0"	2	"NOP10"	169	"HiG"
"HiG_0"	2875	"HSP90AA1"	8	"HiG"
"HiG_0"	113	"DPPA4"	99.5	"HiG"
"HiG_0"	699	"TUBA1B"	40	"HiG"
"HiG_0"	179	"NME1"	89	"HiG"
"HiG_0"	14	"UGP2"	143.5	"HiG"
"HiG_0"	205	"TUBB"	83	"HiG"
"HiG_0"	139	"NDUFA4"	97	"HiG"
"HiG_0"	2509	"HSPD1"	12	"HiG"
"HiG_0"	480	"JARID2"	49	"HiG"
"HiG_0"	0	"SMC4"	250.5	"HiG"
"HiG_0"	0	"CYB5A"	250.5	"HiG"
"HiG_0"	976	"RPS2"	31	"HiG"
"HiG_0"	0	"DMKN"	250.5	"HiG"
"HiG_0"	108	"SNRPD2"	101	"HiG"
"HiG_0"	0	"PPM1G"	250.5	"HiG"
"HiG_0"	0	"DPYSL3"	250.5	"HiG"
"HiG_0"	321	"PTMA"	69	"HiG"
"HiG_0"	0	"RBPJ"	250.5	"HiG"
"HiG_0"	33	"HMGB1"	124	"HiG"
"HiG_0"	0	"ARPC5L"	250.5	"HiG"
"HiG_0"	6	"LYAR"	157.5	"HiG"
"HiG_0"	1046	"RPL27A"	27	"HiG"
"HiG_0"	671	"RPL22L1"	41	"HiG"
"HiG_0"	725	"DDX21"	39	"HiG"
"HiG_0"	769	"HNRNPA2B1"	38	"HiG"
"HiG_0"	0	"NRDC"	250.5	"HiG"
"HiG_0"	173	"JPT1"	90	"HiG"
"HiG_0"	0	"PSMD12"	250.5	"HiG"
"HiG_0"	7	"RAC1"	154.5	"HiG"
"HiG_0"	0	"ZNF770"	250.5	"HiG"
"HiG_0"	2174	"UBE2C"	13	"HiG"
"HiG_0"	7	"FDPS"	154.5	"HiG"
"HiG_0"	0	"PRIM1"	250.5	"HiG"
"HiG_0"	0	"HMGN5"	250.5	"HiG"
"HiG_0"	80	"TOMM7"	108	"HiG"
"HiG_0"	182	"CD2AP"	87	"HiG"
"HiG_0"	0	"DNMT1"	250.5	"HiG"
"HiG_0"	32	"G3BP2"	126	"HiG"
"HiG_0"	188	"RRM2"	85.5	"HiG"
"HiG_0"	278	"GTPBP4"	80	"HiG"
"HiG_0"	1299	"MT-CYB"	24	"HiG"
"HiG_0"	405	"MT-ATP6"	55	"HiG"
"HiG_0"	74	"MT-CO2"	109	"HiG"
"HiG_0"	24	"MT-ND4"	132	"HiG"
"HiG_0"	99	"MT-CO3"	105	"HiG"
"HiG_0"	0	"MT-ND2"	250.5	"HiG"
"HiG_0"	164	"MT-ATP8"	93	"HiG"
"HiG_0"	0	"ADSS"	250.5	"HiG"
"HiG_0"	0	"COA6"	250.5	"HiG"
"HiG_0"	1263	"PARP1"	26	"HiG"
"HiG_0"	417	"EPRS"	53	"HiG"
"HiG_0"	44	"RRP15"	116	"HiG"
"HiG_0"	1956	"CENPF"	17	"HiG"
"HiG_0"	784	"ACAT2"	34.5	"HiG"
"HiG_0"	35	"NUCKS1"	119.5	"HiG"
