"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Pijuan"	"Maven2023_gene_ISL1_targets_CP_L"	208	52	4	"PLXNA2, MPPED2, ROBO2, SPRY1"	12.2734609227074	0.000450603215179062	0.00139277357418983	3.34620571378941	2.85611948190538
"CTS_Pijuan"	"Elorbany_C1_RegulonSOX4_target"	94	52	3	"ROBO2, NR2F2, FAM110B"	20.284343861601	0.000571691048980401	0.00161979130544447	3.24283860752134	2.79054093652671
"CTS_Pijuan"	"Maven2023_gene_ISL1_targets_CP_E"	111	52	3	"PLXNA2, MPPED2, ROBO2"	17.0832382596297	0.000926824017480526	0.00242400127648753	3.03300272054012	2.6154671558047
"CTS_Pijuan"	"Takeuchi_gp5"	300	52	4	"CLU, TRABD2B, FAM110B, NRG1"	8.43191280986118	0.00175228113857725	0.00397183724744177	2.75639621372871	2.40100855574214
"CTS_Pijuan"	"Elorbany_C1_RegulonPLAGL1_target"	200	52	3	"PDCD4, CHD3, B3GALNT1"	9.34183399925926	0.00493077452807836	0.0104778958721665	2.30708485620952	1.97972592182319
"CTS_Pijuan"	"Maven2023_gene_ISL_dn_E"	448	52	4	"CDK6, MPPED2, TPM2, NPM3"	5.59593561095734	0.00728641697318671	0.0145728339463734	2.13748597940587	1.83645598374189
"CTS_Pijuan"	"Maven2023_gene_ISL_dn_T"	242	52	3	"MPPED2, CDK6, RHOU"	7.68907762706049	0.00832836301782753	0.0157313523670076	2.0794403529976	1.80323394105866
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL_dn_T"	242	79	24	"ID1, HAND2, RHOBTB3, DUSP6, JAG1, SC5D, KIAA1324L, GATA6, HAS2, DAB1, FAM89A, HAPLN1, NKX3-1, CGNL1, BMPER, PRTG, PTPN13, BMP5, LRRTM1, SLC25A37, LAMA1, WLS, TIPARP, C1orf21"	60.0985431604413	1.0817937323667e-31	3.67809869004679e-30	30.9658555390766	29.4343766220344
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL_dn_E"	448	79	18	"ID1, HAPLN1, RHOBTB3, FAM89A, HAS2, ENC1, CGNL1, HAND2, PRTG, JAG1, DAB1, KIAA1324L, DUSP6, SC5D, PTPN13, WLS, C16orf87, LAMA1"	20.45763066464	9.70644456970832e-17	1.33287930216272e-15	16.012939821227	14.875209176001
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL1_targets_CP_T"	110	79	12	"DAB1, FAM89A, PLCE1, SC5D, PRTG, CGNL1, MEIS1, JAG1, PTPN13, BMP5, BMPER, SLC25A37"	55.0164583178791	1.17606997249652e-16	1.33287930216272e-15	15.9295668383236	14.875209176001
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL_dn_L"	586	79	16	"RHOBTB3, BMPER, DAB1, HAS2, SC5D, DUSP6, KIAA1324L, CGNL1, WLS, ID1, HAND2, ENTPD4, HAPLN1, LPGAT1, PTPN13, FAM89A"	13.2174242710975	2.17765301164739e-12	1.85100505990028e-11	11.662011319774	10.7325923940598
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL1_WT_d6CP"	1368	79	22	"FYB2, DAB1, IGSF3, FAM89A, PLCE1, SC5D, PRTG, CGNL1, ORC6, CHST9, MEIS1, LRP2, JAG1, NINL, HACD2, PTPN13, ZNF608, BMP5, BMPER, DYNC1I1, ENTPD4, SLC25A37"	8.282959115362	3.52909876643815e-12	2.39978716117794e-11	11.4523361871717	10.6198272744654
