"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"TIPS_Pijuan_IID"	"Maven2023_gene_ISL1_WT_d6CP"	1368	5	3	"MPPED2, HMGA2, RARB"	31.7944530181169	0.000856434510135064	0.0145593866722961	3.06730584107487	1.83685691969659
"TIPS_Pijuan_IID"	"Maven2023_gene_ISL_dn_L"	586	5	2	"MPPED2, FGF8"	33.9080559720925	0.00358939948545066	0.0406798608351075	2.44497820378104	1.39062054145844
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL_dn_T"	242	16	7	"GATA6, HAS2, FAM89A, NKX3-1, BMPER, BMP5, LRRTM1"	99.5739816552038	2.03939254171208e-11	6.93393464182109e-10	10.6904991732942	9.15902025625191
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL1_targets_CP_T"	110	16	4	"FAM89A, MEIS1, BMP5, BMPER"	94.6869772660236	2.88888940757948e-07	4.91111199288511e-06	6.53926908349235	5.30882016211408
"TIPS_Elorbany_STRING"	"PCGC_AllCurated"	291	16	4	"GATA6, HAS2, ISL1, SEMA3E"	34.8276872351982	1.38265466933382e-05	0.0001567008625245	4.85928627537155	3.80492861304896
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL_up_E"	121	16	3	"PPP1R1A, MEIS1, ISL1"	58.9466553917076	3.34509232739234e-05	0.000284332847828349	4.47559189083378	3.54617296511949
"TIPS_Elorbany_STRING"	"Xie_SHF specific"	30	16	2	"ISL1, MEIS1"	153.50402536895	0.000112652612858576	0.000766037767438315	3.94825873082074	3.1157498181145
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL1_targets_CP_L"	208	16	3	"FAM89A, MEIS1, BMPER"	33.8458517874286	0.000166966673242699	0.000946144481708627	3.77737020592533	3.02404253926672
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL1_WT_d6CP"	1368	16	5	"FYB2, FAM89A, MEIS1, BMP5, BMPER"	9.64709892913836	0.000534758530594404	0.00259739857717282	3.27184227873301	2.58546140170501
"TIPS_Elorbany_STRING"	"Elorbany_TD_A10_to_4"	79	16	2	"PPP1R1A, HAS2"	55.9994740842892	0.000785949387434941	0.0033402848965985	3.10460542020162	2.47621649015131
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL1_targets_CP_E"	111	16	2	"FAM89A, MEIS1"	39.5210625710191	0.00154210526987475	0.00582573101952681	2.81188597870709	2.23464957110416
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL_up_T"	155	16	2	"PPP1R1A, MEIS1"	28.1337034178467	0.00297424349094903	0.0101124278692267	2.52662348018297	1.99514456314071
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL_dn_L"	586	16	3	"BMPER, HAS2, FAM89A"	11.7575011419978	0.00333647668442654	0.0103127461155002	2.47671190568816	1.98662567380413
"TIPS_Elorbany_STRING"	"Takeuchi_gp1"	300	16	2	"BMP5, BMPER"	14.3795344562611	0.0106901884516988	0.0259618862398398	1.97101463877518	1.58566375741116
"TIPS_Elorbany_STRING"	"Takeuchi_gp10"	300	16	2	"GATA6, H1F0"	14.3795344562611	0.0106901884516988	0.0259618862398398	1.97101463877518	1.58566375741116
"TIPS_Elorbany_STRING"	"Takeuchi_gp5"	300	16	2	"GATA6, H1F0"	14.3795344562611	0.0106901884516988	0.0259618862398398	1.97101463877518	1.58566375741116
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL_up_L"	944	16	3	"MEIS1, ISL1, PPP1R1A"	7.19695034771106	0.0124506046147232	0.0282213704600392	1.90480955824999	1.54942190026342
"TIPS_Elorbany_STRING"	"Maven2023_gene_ISL_dn_E"	448	16	2	"FAM89A, HAS2"	9.55756818766252	0.0228082612640752	0.0456165225281504	1.64190782091359	1.34087782524961
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL_dn_T"	242	15	7	"GATA6, HAS2, FAM89A, NKX3-1, BMPER, BMP5, LRRTM1"	111.611701287792	1.1549901326887e-11	3.92696645114157e-10	10.9374217260205	9.4059428089782
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL1_targets_CP_T"	110	15	4	"FAM89A, MEIS1, BMP5, BMPER"	103.132642480589	2.1727402461133e-07	3.69365841839261e-06	6.66299219103919	5.43254326966091
"TIPS_Elorbany_IID"	"PCGC_AllCurated"	291	15	4	"GATA6, HAS2, ISL1, SEMA3E"	37.9903560011201	1.04488100854949e-05	0.000118419847635609	4.98093316435939	3.9265755020368
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL_up_E"	121	15	3	"PPP1R1A, MEIS1, ISL1"	63.8450546624418	2.72583052851349e-05	0.000231695594923647	4.56450114880191	3.63508222308762
"TIPS_Elorbany_IID"	"Xie_SHF specific"	30	15	2	"ISL1, MEIS1"	165.588660534193	9.86317380556846e-05	0.000670695818778656	4.00598331381604	3.1734744011098
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL1_targets_CP_L"	208	15	3	"FAM89A, MEIS1, BMPER"	36.6634364195288	0.000136349466802421	0.000772646978547051	3.86534655603712	3.11201888937851
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL1_WT_d6CP"	1368	15	5	"FYB2, FAM89A, MEIS1, BMP5, BMPER"	10.6117715653684	0.000381794334790294	0.00185442962612429	3.41817052012142	2.73178964309342
"TIPS_Elorbany_IID"	"Elorbany_TD_A10_to_4"	79	15	2	"PPP1R1A, HAS2"	60.2909463857337	0.000688869540682244	0.00292769554789954	3.1618630177534	2.53347408770309
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL1_targets_CP_E"	111	15	2	"FAM89A, MEIS1"	42.5735018008238	0.00135257316910516	0.00510972086106394	2.86883923189304	2.29160282429011
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL_up_T"	155	15	2	"PPP1R1A, MEIS1"	30.291109181205	0.00261120472785223	0.00850031130161666	2.58315907659111	2.07056516909763
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL_dn_L"	586	15	3	"BMPER, HAS2, FAM89A"	12.7347427371774	0.00275010071522892	0.00850031130161666	2.56065140098166	2.07056516909763
"TIPS_Elorbany_IID"	"Takeuchi_gp1"	300	15	2	"BMP5, BMPER"	15.4828606366765	0.00941497785074197	0.0266757705771022	2.02618069734799	1.57388302635336
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL_up_L"	944	15	3	"MEIS1, ISL1, PPP1R1A"	7.79907319101377	0.010352519012846	0.0270758189566743	1.98495396322437	1.56741839848895
"TIPS_Elorbany_IID"	"Maven2023_gene_ISL_dn_E"	448	15	2	"FAM89A, HAS2"	10.296030400065	0.020151753873239	0.0456773087793418	1.69568714980465	1.34029949181808
