"GO_BP"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Pijuan"	"GO:0051781_positive regulation of cell division"	47	52	3	"FGF8, FGFR2, VEGFC"	41.9876889968652	7.31986759348412e-05	0.0125812455929958	4.13549677467102	1.90027635989349
"CTS_Pijuan"	"GO:0016477_cell migration"	255	52	5	"EPHA2, ELMO1, SIX2, SH3KBP1, RHOU"	12.7656370326354	7.62442017303146e-05	0.0127803321043433	4.11779317824056	1.89345786063695
"CTS_Pijuan"	"GO:0008543_fibroblast growth factor receptor signaling pathway"	48	52	3	"FGF8, FGF10, FGFR2"	41.028058351049	7.79841465143698e-05	0.0127803321043433	4.10799367655463	1.89345786063695
"CTS_Pijuan"	"GO:0009887_animal organ morphogenesis"	135	52	4	"FGF8, FGF10, FGFR2, VEGFC"	19.1577560322334	8.63008559674839e-05	0.0138218666364286	4.06398489675163	1.85943330174055
"CTS_Pijuan"	"GO:0031334_positive regulation of protein-containing complex assembly"	53	52	3	"CLU, NRG1, TRABD2B"	36.9542566780021	0.000104985930295234	0.0164407966842336	3.97886889906879	1.78407714134687
"CTS_Pijuan"	"GO:0042475_odontogenesis of dentin-containing tooth"	55	52	3	"BMP7, FGF10, TBX1"	35.5389586809747	0.000117290587978777	0.0179684081192704	3.93073683658764	1.74549039677194
"CTS_Pijuan"	"GO:0050680_negative regulation of epithelial cell proliferation"	56	52	3	"CDK6, DAB2, ISL1"	34.8369241177547	0.000123779844182388	0.0181461267970535	3.90735006834519	1.74121605879169
"CTS_Pijuan"	"GO:0045665_negative regulation of neuron differentiation"	61	52	3	"BMP7, ISL1, IRX3"	31.851976790106	0.000159739400832579	0.0212393124088148	3.79658794889812	1.67285954700164
"CTS_Pijuan"	"GO:0071300_cellular response to retinoic acid"	67	52	3	"FGFR2, TBX1, OSR1"	28.8665882211822	0.000211086387556426	0.0275467735761136	3.67553977237564	1.55992926070134
"CTS_Pijuan"	"GO:0007411_axon guidance"	174	52	4	"BMP7, EPHA2, EPHA7, ROBO2"	14.7458820671087	0.000229025772279826	0.0293444475864715	3.64011564373378	1.53247406173076
"CTS_Pijuan"	"GO:0033674_positive regulation of kinase activity"	72	52	3	"EPHA2, EPHA7, FGFR2"	26.77887858119	0.000261211415561765	0.0322939797449782	3.58300784727771	1.49087843145293
"CTS_Pijuan"	"GO:0007507_heart development"	197	52	4	"ISL1, TBX1, OSR1, APELA"	12.9748930448256	0.000367047128918516	0.0424029691391604	3.43527816867664	1.37260373219014
"CTS_Pijuan"	"GO:0032355_response to estradiol"	84	52	3	"BMP7, FGF10, NR2F2"	22.8068213295706	0.000411318149835411	0.0467509516433894	3.38582212637836	1.33020954437935
"CTS_Pijuan"	"GO:0042060_wound healing"	86	52	3	"FGF10, FGFR2, NRG1"	22.2581639362619	0.000440711404083123	0.0485264572589651	3.35584571130925	1.31402141379587
"CTS_Elorbany.CP.1"	"GO:0008584_male gonad development"	98	79	6	"CYP1B1, GATA6, LRP2, NKX3-1, CITED2, RHOBTB3"	26.9176661826119	2.24695604803199e-07	0.000966726379042235	6.64840542258927	3.01469643066109
"CTS_Elorbany.CP.1"	"GO:0061156_pulmonary artery morphogenesis"	6	79	3	"JAG1, LRP2, CITED2"	392.464852070046	3.38835821436853e-07	0.000966726379042235	6.47001068266839	3.01469643066109
"CTS_Elorbany.CP.1"	"GO:0001570_vasculogenesis"	59	79	5	"HAS2, KDR, NTRK2, CITED2, TIPARP"	37.7228001839217	4.74191336727519e-07	0.000966726379042235	6.3240463846594	3.01469643066109
"CTS_Elorbany.CP.1"	"GO:0008284_positive regulation of cell population proliferation"	486	79	10	"BMP5, CCKBR, CCND2, FGF10, HAS2, ISL1, KDR, MEIS1, NKX3-1, NTRK2"	9.05784821432359	5.48730738778053e-07	0.000966726379042235	6.2606407108304	3.01469643066109
"CTS_Elorbany.CP.1"	"GO:0001525_angiogenesis"	232	79	7	"JAG1, CYP1B1, FGF10, ID1, KDR, MEIS1, HAND2"	12.9589219322935	2.55096354775353e-06	0.00359532802420383	5.59329574723992	2.44426148007867
"CTS_Elorbany.CP.1"	"GO:0060037_pharyngeal system development"	19	79	3	"BMP5, ISL1, NKX3-1"	74.38423863623	1.60200889209705e-05	0.0157272831109143	4.7953350776538	1.80334629529461
"CTS_Elorbany.CP.1"	"GO:0048514_blood vessel morphogenesis"	20	79	3	"CYP1B1, ID1, LAMA1"	70.1395475442814	1.88117754687084e-05	0.0157272831109143	4.72557021349405	1.80334629529461
"CTS_Elorbany.CP.1"	"GO:0043066_negative regulation of apoptotic process"	471	79	8	"CCND2, GATA6, ID1, KDR, LRP2, PTMS, CITED2, SLC40A1"	7.24503381931955	3.18254338895987e-05	0.0217393645976991	4.49722566671362	1.66275315370629
"CTS_Elorbany.CP.1"	"GO:0003148_outflow tract septum morphogenesis"	25	79	3	"GATA6, ISL1, LRP2"	54.150032693866	3.7598710719551e-05	0.0217393645976991	4.42482704701342	1.66275315370629
"CTS_Elorbany.CP.1"	"GO:0043392_negative regulation of DNA binding"	30	79	3	"ID1, IFI16, HAND2"	44.0985718486448	6.57496418503647e-05	0.0293888838485134	4.18210660850868	1.53181690755231
"CTS_Elorbany.CP.1"	"GO:0070371_ERK1 and ERK2 cascade"	37	79	3	"DUSP6, FGF10, KDR"	35.0238575593497	0.000124188958992946	0.0416742663820614	3.90591701335093	1.38013203658758
"CTS_Elorbany.CP.1"	"GO:0001934_positive regulation of protein phosphorylation"	193	79	5	"CCND2, FGF10, KDR, NKX3-1, NTRK2"	10.7962281139498	0.000152855423647822	0.0468335726280958	3.81571914693768	1.32944271145801
"CTS_Elorbany.CP.1"	"GO:0007507_heart development"	197	79	5	"ISL1, NKX3-1, HAND2, CITED2, PLCE1"	10.5656647075951	0.000168179604861033	0.0493817364773209	3.7742266722323	1.30643364244664
"CTS_Elorbany.CP"	"GO:0048704_embryonic skeletal system morphogenesis"	41	76	5	"HOXB2, HOXB3, HOXB4, HOXB5, PDGFRA"	58.9944128398414	6.05351108845831e-08	0.000426590926403657	7.21799265773672	3.36998838623945
"CTS_Elorbany.CP"	"GO:0009952_anterior/posterior pattern specification"	91	76	5	"HOXB2, HOXB3, HOXB4, HOXB5, HEY1"	24.6830041845151	3.40744470806052e-06	0.0120061314288512	5.46757118264781	1.92059690681452
"CTS_Elorbany.CP"	"GO:0002244_hematopoietic progenitor cell differentiation"	69	76	4	"BMP4, HOXB3, PDGFRA, SFRP1"	25.7816648228149	2.78748831887035e-05	0.0491085754576983	4.5547869438759	1.3088426637066
