"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"	"category"	"database"
"CTS_Elorbany"	"Elorbany_C5_RegulonMEF2A_target"	283	79	11	"LPGAT1, CGNL1, TP53I11, KIAA1324L, SC5D, HACD2, JAG1, ISL1, RHOBTB3, IGSF3, CHIC2"	17.8170292781526	1.99279977148315e-10	9.67931317577531e-10	9.70053633527264	9.01415545824464	"CTS"	"Elorbany"
"CTS_Elorbany"	"Maven2023_ISL1_targets_CP_E"	111	79	8	"DAB1, FAM89A, SC5D, PRTG, CGNL1, MEIS1, JAG1, PTPN13"	32.9313944168853	5.26192234207294e-10	2.236316995381e-09	9.27885556572543	8.65046663567512	"CTS"	"Elorbany"
"CTS_Elorbany"	"PCGC_AllCurated"	291	79	10	"CITED2, CPLANE1, GATA6, GPC6, HAND2, HAS2, ISL1, JAG1, SEMA3E, ZEB2"	15.4432838645613	4.57898773146412e-09	1.72983980966422e-08	8.33923052008108	7.76199411247815	"CTS"	"Elorbany"
"CTS_Elorbany"	"Takeuchi_gp5"	300	79	9	"SAMD11, GATA6, ZEB2, DAB1, IFI16, JAG1, H1F0, PTPN13, HAND2"	13.220590012241	9.06991664776009e-08	3.08377166023843e-07	7.04239670407377	6.51091778703152	"CTS"	"Elorbany"
"CTS_Elorbany"	"Xie_Common"	28	79	4	"CA2, HAND2, BMP5, HAPLN1"	67.0123511509576	8.34134291524117e-07	2.36338049265167e-06	6.07876402445476	5.62646635346013	"CTS"	"Elorbany"
"CTS_Elorbany"	"PCGC_Valdiated"	99	79	5	"CITED2, GATA6, HAND2, JAG1, ZEB2"	21.6400023829418	6.24559757238736e-06	1.63346398047054e-05	5.20442600245005	4.78689043771463	"CTS"	"Elorbany"
"CTS_Elorbany"	"Takeuchi_gp1"	300	79	7	"NAV1, BMP5, SC5D, GPC6, CITED2, KDR, BMPER"	9.92914139450864	1.36720506982927e-05	3.32035516958537e-05	4.86416633984642	4.47881545848241	"CTS"	"Elorbany"
"TIPS_Ibarra_STRING"	"PCGC_AllCurated"	291	14	7	"GATA4, GATA6, ISL1, PRDM6, RBFOX2, TBX5, TWIST1"	105.688198846086	2.26567013529593e-11	7.70327846000617e-10	10.6448033199135	9.1133244028712	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Takeuchi_gp5"	300	14	4	"GATA6, GATA4, TWIST1, TBX5"	40.5057355176088	8.70578935929794e-06	0.000135811585175611	5.06019184501244	3.86706318172535	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"PCGC_Valdiated"	99	14	3	"GATA4, GATA6, TBX5"	85.4845623677737	1.19833751625539e-05	0.000135811585175611	4.92142084404794	3.86706318172535	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Xie_JCF specific"	39	14	2	"TBX5, MYOCD"	136.331096210303	0.000145356213409057	0.000988422251181588	3.83756639910792	3.00505748640168	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Maven2023_ISL1_WT_d6CP"	1368	14	4	"HMGA2, MYOCD, PRDM6, GATA4"	8.48446424504737	0.00287338371128337	0.0147891074311906	2.54160637450728	1.83005803624016	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Elorbany_C1_RegulonWT1_target"	180	14	2	"GATA4, PRDM6"	28.1919526606253	0.00304481623583337	0.0147891074311906	2.51643891326816	1.83005803624016	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Maven2023_ISL1_targets_CP_L"	208	14	2	"MYOCD, GATA4"	24.3167375385342	0.00403891372109833	0.0171653833146679	2.39373542408951	1.7653464940392	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Elorbany_C5_RegulonMEF2A_target"	283	14	2	"ISL1, RBFOX2"	17.7975020162366	0.00733984063103984	0.0232700484503014	2.13431336975851	1.63320271247276	"TIPS"	"Ibarra"
"TIPS_Ibarra_STRING"	"Takeuchi_gp1"	300	14	2	"MYOCD, RBM24"	16.7713731185879	0.00821295827657697	0.0232700484503014	2.08550038346739	1.63320271247276	"TIPS"	"Ibarra"
"TIPS_Pijuan_STRING"	"Maven2023_ISL1_targets_CP_T"	110	9	2	"MPPED2, RARB"	79.6869210142981	0.000462043265464222	0.00392736775644589	3.33531735545556	2.40589842974127	"TIPS"	"Pijuan"
"TIPS_Pijuan_STRING"	"Maven2023_ISL1_WT_d6CP"	1368	9	3	"MPPED2, HMGA2, RARB"	10.5976913901012	0.00627737337112195	0.0426861389236292	2.20222203923275	1.36971312652651	"TIPS"	"Pijuan"
"TIPS_Elorbany_STRING"	"Maven2023_ISL1_targets_CP_T"	110	16	4	"FAM89A, MEIS1, BMP5, BMPER"	94.6869772660236	2.88888940757948e-07	4.91111199288511e-06	6.53926908349235	5.30882016211408	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"PCGC_AllCurated"	291	16	4	"GATA6, HAS2, ISL1, SEMA3E"	34.8276872351982	1.38265466933382e-05	0.0001567008625245	4.85928627537155	3.80492861304896	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"Xie_SHF specific"	30	16	2	"ISL1, MEIS1"	153.50402536895	0.000112652612858576	0.000766037767438315	3.94825873082074	3.1157498181145	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"Maven2023_ISL1_targets_CP_L"	208	16	3	"FAM89A, MEIS1, BMPER"	33.8458517874286	0.000166966673242699	0.000946144481708627	3.77737020592533	3.02404253926672	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"Maven2023_ISL1_WT_d6CP"	1368	16	5	"FYB2, FAM89A, MEIS1, BMP5, BMPER"	9.64709892913836	0.000534758530594404	0.00259739857717282	3.27184227873301	2.58546140170501	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"Maven2023_ISL1_targets_CP_E"	111	16	2	"FAM89A, MEIS1"	39.5210625710191	0.00154210526987475	0.00582573101952681	2.81188597870709	2.23464957110416	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"Takeuchi_gp1"	300	16	2	"BMP5, BMPER"	14.3795344562611	0.0106901884516988	0.0259618862398398	1.97101463877518	1.58566375741116	"TIPS"	"Elorbany"
"TIPS_Elorbany_STRING"	"Takeuchi_gp5"	300	16	2	"GATA6, H1F0"	14.3795344562611	0.0106901884516988	0.0259618862398398	1.97101463877518	1.58566375741116	"TIPS"	"Elorbany"
