CP_hi	CM_hi	CF_hi	CTS_9
PDE10A	0	0	1	1
OXR1	1	0	1	1
MAP2	1	1	1	1
KCNQ1	0	0	0	1
CMSS1	0	0	0	1
PLCG2	0	0	0	1
PRKG1	1	0	1	1
FARP1	1	1	0	1
SCARB1	0	0	0	1
ABTB2	0	0	0	1
CPEB4	1	0	0	1
GRAMD1B	0	0	0	1
ADAMTS9	0	0	0	1
ATP1B3	0	0	0	1
PGAP1	0	0	0	1
LRMDA	1	0	1	1
NHS	0	0	0	1
HMGCS1	0	0	0	1
SEMA6A	0	0	0	1
NR4A1	0	0	0	1
C1orf21	0	0	0	1
TBC1D4	0	0	0	1
ABCB1	0	0	0	1
PDE8A	0	0	0	1
MAP3K5	0	0	0	1
FDX1	0	0	0	1
ZNF331	0	0	0	1
CREM	0	0	0	1
ZHX2	0	0	0	1
SLC23A2	0	0	0	1
SH3BP5	0	0	0	1
DPP10	0	0	0	1
CYP11B1	0	0	0	1
SIK2	0	0	0	1
DUSP16	0	0	0	1
DHCR24	0	0	0	1
CD55	0	0	0	1
RBM47	0	0	0	1
MAN1A1	0	0	0	1
INSIG1	0	0	0	1
ZFAND5	0	0	0	1
PRKAR2B	0	0	0	1
CBLB	0	0	0	1
MT2A	0	0	0	1
FNDC3B	1	0	1	1
GALNT2	0	0	0	1
MSMO1	0	0	0	1
RHOB	0	0	0	1
DUSP1	0	0	0	1
CYP17A1	0	0	0	1
HMGCR	0	0	0	1
TGFBR3	0	0	0	1
PLCL2	0	0	0	1
PHACTR2	0	0	0	1
STAR	0	0	0	1
CTNNA1	1	0	0	1
PAPSS2	0	0	0	1
ELOVL5	0	0	0	1
LDLR	0	0	0	1
ALAS1	0	0	0	1
PPP2R1A	0	0	0	1
TLE1	0	0	0	1
ADGRV1	0	0	0	1
SOAT1	0	0	0	1
PCGF5	0	0	0	1
RGS2	0	0	0	1
ECE1	0	0	0	1
SGK1	0	0	0	1
AKR1B1	0	0	0	1
NFIC	0	0	0	1
COL15A1	0	0	0	1
ITPR1	0	0	0	1
EPS15	0	0	0	1
ENOSF1	0	0	0	1
POR	0	0	0	1
ERN1	0	0	0	1
DLG5	0	0	0	1
ARRDC3	0	0	0	1
MYH9	0	0	0	1
UST	0	0	0	1
CYB5B	0	0	0	1
ZFP36L2	0	0	0	1
HSD3B2	0	0	0	1
DOCK8	0	0	0	1
COBLL1	0	0	0	1
KCNK3	0	0	0	1
GRIA3	0	0	0	1
CYP11A1	0	0	0	1
B4GALNT3	0	0	0	1
PLD1	0	0	0	1
NAMPT	0	0	0	1
CYP21A2	0	0	0	1
HIF1A	0	0	0	1
DNAJC12	0	0	0	1
NPC1	0	0	0	1
PLAGL1	0	0	0	1
RBBP7	0	0	0	1
SLC16A9	0	0	0	1
JUNB	0	0	0	1
ACADVL	0	0	0	1
EDA	0	0	0	1
TNXB	0	0	0	1
TBX3	0	0	0	1
C2CD2	0	0	0	1
TNS1	0	0	0	1
NGEF	0	0	0	1
ALPK3	0	0	0	1
FOSL2	0	0	0	1
CADPS2	0	0	0	1
PHF10	0	0	0	1
