"network","AUC","normalized_AUC","ID"
"real_PPIN",0.453346098164673,0.453860679433872,"HiG_11"
"random",0.998866213151928,1,"HiG_11"
"scale_free",0.998866213151928,1,"HiG_11"
"small_world",0.998866213151928,1,"HiG_11"
"deg_preserving",0.412649117618081,0.413117504811745,"HiG_11"
"real_PPIN",0.437647115921287,0.438186754781861,"HiG_15"
"random",0.998768472906391,1,"HiG_15"
"scale_free",0.998768472906391,1,"HiG_15"
"small_world",0.998768472906391,1,"HiG_15"
"deg_preserving",0.399196777403009,0.399689005241982,"HiG_15"
"real_PPIN",0.449383356131172,0.449812566595473,"HiG_16"
"random",0.999045801526734,1,"HiG_16"
"scale_free",0.999045801526734,1,"HiG_16"
"small_world",0.999045801526734,1,"HiG_16"
"deg_preserving",0.404548897615808,0.404935286247717,"HiG_16"
"real_PPIN",0.44657315789151,0.447127907155975,"HiG_13"
"random",0.99875930521091,1,"HiG_13"
"scale_free",0.99875930521091,1,"HiG_13"
"small_world",0.99875930521091,1,"HiG_13"
"deg_preserving",0.403127289743818,0.403628068985739,"HiG_13"
"real_PPIN",0.463246603434996,0.463945316260697,"HiG_8"
"random",0.9984939759036,1,"HiG_8"
"scale_free",0.9984939759036,1,"HiG_8"
"small_world",0.9984939759036,1,"HiG_8"
"deg_preserving",0.413753799392111,0.414377862437958,"HiG_8"
"real_PPIN",0.281746031746032,0.292181069958848,"HiGCTS_7"
"random",0.964285714285714,1,"HiGCTS_7"
"scale_free",0.964285714285714,1,"HiGCTS_7"
"small_world",0.964285714285714,1,"HiGCTS_7"
"deg_preserving",0.281746031746032,0.292181069958848,"HiGCTS_7"
"real_PPIN",0.197368421052632,0.202702702702703,"HiGCTS_11"
"random",0.973684210526315,1,"HiGCTS_11"
"scale_free",0.973684210526315,1,"HiGCTS_11"
"small_world",0.973684210526315,1,"HiGCTS_11"
"deg_preserving",0.184210526315789,0.189189189189189,"HiGCTS_11"
"real_PPIN",0.238888888888889,0.242937853107345,"HiGCTS_15"
"random",0.983333333333333,1,"HiGCTS_15"
"scale_free",0.983333333333333,1,"HiGCTS_15"
"small_world",0.983333333333333,1,"HiGCTS_15"
"deg_preserving",0.322222222222222,0.327683615819209,"HiGCTS_15"
"real_PPIN",0.307692307692308,0.32,"HiGCTS_16"
"random",0.961538461538462,1,"HiGCTS_16"
"scale_free",0.961538461538462,1,"HiGCTS_16"
"small_world",0.961538461538462,1,"HiGCTS_16"
"deg_preserving",0.201923076923077,0.21,"HiGCTS_16"
"real_PPIN",0.183333333333333,0.186440677966102,"HiGCTS_16.1"
"random",0.983333333333333,1,"HiGCTS_16.1"
"scale_free",0.983333333333333,1,"HiGCTS_16.1"
"small_world",0.983333333333333,1,"HiGCTS_16.1"
"deg_preserving",0.166666666666667,0.169491525423729,"HiGCTS_16.1"
"real_PPIN",0.307142857142857,0.323308270676692,"HiGCTS_8"
"random",0.95,1,"HiGCTS_8"
"scale_free",0.95,1,"HiGCTS_8"
"small_world",0.95,1,"HiGCTS_8"
"deg_preserving",0.292857142857143,0.308270676691729,"HiGCTS_8"
"real_PPIN",0.237727910238429,0.241625089094797,"CTS_7"
"random",0.983870967741935,1,"CTS_7"
"scale_free",0.983870967741935,1,"CTS_7"
"small_world",0.983870967741935,1,"CTS_7"
"deg_preserving",0.241935483870968,0.245901639344263,"CTS_7"
"real_PPIN",0.184095860566449,0.185918591859185,"CTS_11"
"random",0.990196078431378,1,"CTS_11"
"scale_free",0.990196078431378,1,"CTS_11"
"small_world",0.990196078431378,1,"CTS_11"
"deg_preserving",0.173202614379085,0.174917491749174,"CTS_11"
