"signature"	"gene"	"PageRank"	"EigenCentrality"	"PPI_cat"	"strength"	"normalized.strength"	"annd"	"rank_by_PR"	"rank_by_strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"p.PageRank"	"rank_by_p.PR"	"p.annd"	"rank_by_p.ANND"
"CTS_13"	"TSPAN8"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"TXNIP"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"UBASH3B"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"UPP1"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"WAS"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_13"	"XIAP"	0.0150753768844221	0	"CTS"	0	0	NA	29	29	29	NA	NA	NA	NA	NA
"CTS_15"	"ABI3"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"ADGRF5"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"ADGRG1"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"ALOX5AP"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"ARAP3"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"ATP13A2"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CAPG"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CAV2"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CD34"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CD38"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CDH5"	0.0796812749003984	2.19420794193272e-16	"CTS"	0.00236499597611521	3.94165996019202e-05	4	2.5	3.5	3.5	2	NA	NA	NA	NA
"CTS_15"	"CEBPD"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CITED4"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"CLDN5"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"EPOR"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"F10"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"FAM107B"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"FAM171A2"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"FECH"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
"CTS_15"	"GATA1"	0.0796812749003984	1	"CTS"	0.00467502122207351	7.79170203678919e-05	1	2.5	1.5	1.5	3.5	NA	NA	NA	NA
"CTS_15"	"GEM"	0.0119521912350598	1.3797922587497e-17	"CTS"	0	0	NA	33	33	33	NA	NA	NA	NA	NA
