geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
8	metacluster_24.4	3.21	0.185	DPF2; GTF2F1; IKZF3; MAZ; NFXL1; PRDM9; RBAK; SIN3A; TAF1; VEZF1; VEZF1; WRNIP1; ZBTB5; ZNF263; ZNF263; ZNF263; ZNF263; ZNF341; ZNF341; ZNF444; ZNF467; ZNF496; ZNF596; ZNF701; ZNF875 (directAnnotation). 	BCL11A; CHURC1; DDX20; DPF2; EGR1; EGR2; EGR2; EP300; EP300; FLI1; GTF2F1; GTF2F1; GTF2F1; GTF2F1; GTF2F1; HINFP; IKZF1; IKZF3; IKZF3; IKZF3; IKZF3; IKZF3; IKZF3; IKZF3; IRF4; KLF10; KLF13; KLF13; KLF15; KLF15; KLF15; KLF15; KLF15; KLF15; KLF16; KLF6; KLF6; KLF9; KLF9; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MAZ; MTF1; MTF1; MZF1; MZF1; NFXL1; NFXL1; NFXL1; NFXL1; NFXL1; NFXL1; NFXL1; OVOL2; PATZ1; PATZ1; PATZ1; PATZ1; PATZ1; PATZ1; PATZ1; PATZ1; PATZ1; PAX4; PAX4; PAX4; PML; PURA; PURA; RARA; RARA; RARA; RARB; RARB; RARB; RARG; RARG; RARG; RCOR1; RXRA; RXRA; RXRA; RXRB; RXRB; RXRB; RXRG; RXRG; RXRG; SIN3A; SIN3A; SIN3A; SIN3A; SP1; SP1; SP1; SP1; SP2; SP2; SP2; SP2; SP3; SP3; SP3; SP3; SP4; SP4; SP4; SP4; SPI1; SREBF1; SREBF2; STAT5A; TAF1; THRA; THRA; THRA; THRB; THRB; THRB; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; WRNIP1; WRNIP1; WT1; WT1; WT1; WT1; WT1; WT1; WT1; ZBED1; ZBTB14; ZBTB14; ZBTB14; ZBTB14; ZBTB17; ZBTB17; ZBTB17; ZBTB7B; ZNF148; ZNF148; ZNF148; ZNF202; ZNF202; ZNF202; ZNF202; ZNF202; ZNF202; ZNF202; ZNF202; ZNF202; ZNF212; ZNF214; ZNF263; ZNF263; ZNF263; ZNF263; ZNF263; ZNF263; ZNF263; ZNF263; ZNF341; ZNF341; ZNF341; ZNF341; ZNF398; ZNF398; ZNF398; ZNF398; ZNF398; ZNF398; ZNF432; ZNF432; ZNF432; ZNF432; ZNF432; ZNF432; ZNF432; ZNF432; ZNF432; ZNF444; ZNF444; ZNF444; ZNF444; ZNF444; ZNF444; ZNF444; ZNF444; ZNF467; ZNF467; ZNF467; ZNF467; ZNF467; ZNF467; ZNF467; ZNF467; ZNF467; ZNF467; ZNF496; ZNF496; ZNF496; ZNF496; ZNF529; ZNF529; ZNF529; ZNF543; ZNF543; ZNF596; ZNF615; ZNF615; ZNF615; ZNF615; ZNF737; ZNF740; ZNF740; ZNF875; ZNF880; ZNF880; ZNF880; ZNF880 (inferredBy_MotifSimilarity). BCL6; BCL6; BCL6; BCL6; BCL6; BCL6; EGR2; RELA; RELA; RELA; RELA; RELA; RELA; RELA; RELA; RELA; RELA; RELA; RELA; SP1; SP5; SP5; SP5; SP5; SP5; SP5; SP5; SP5; SP5; SP5 (inferredBy_MotifSimilarity_n_Orthology). 	17	946	CDK6;CHD3;DACH1;DUSP14;FAM110B;FGF10;MPPED2;NR2F1;NR2F2;NRG1;PDCD4;PLXNA2;RARB;ROBO2;SPRY1;TOX3;VEGFC
8	swissregulon__hs__ZNF281	3.21	0.185	ZNF281 (directAnnotation). 	ZNF148 (inferredBy_MotifSimilarity). 	13	660	CDK6;CHD3;DACH1;FAM110B;FGF10;FGFR2;MPPED2;NR2F2;PDCD4;ROBO2;SPRY1;TOX3;VEGFC
8	swissregulon__mm__Atf2	3.2	0.185	ATF2 (inferredBy_Orthology). 	IKZF1 (inferredBy_MotifSimilarity_n_Orthology). 	26	2698	ALX1;CAMK2N1;CDK6;CHD3;DAB2;DACH1;EPHA7;FAM110B;FGF10;FGF8;FGFR2;IRX1;IRX3;ISL1;MPPED2;NCALD;NR2F1;NR2F2;NRG1;OSR1;PLXNA2;RARB;RHOU;ROBO2;TBX1;TOX3
8	hdpi__GTF2H3	3.19	0.185	GTF2H3 (directAnnotation). 		28	3205	ALX1;CAMK2N1;CDK6;CHD3;DAB2;DUSP14;EPHA7;FAM110B;FGF10;FGFR2;IRX1;IRX2;IRX3;IRX5;MPPED2;NR2F1;NR2F2;NRG1;OSR1;PDCD4;PLXNA2;PTPRE;RARB;RHOU;SCARA3;SIX2;STOX2;TBX1
8	kznf__ZNF282_Imbeault2017_OM_RCADE	3.17	0.184	ZNF282 (directAnnotation). 		12	516	CAMK2N1;CDK6;DAB2;DACH1;MPPED2;NR2F1;NRG1;PDCD4;ROBO2;SPRY1;TOX3;VEGFC
8	hdpi__BARX1	3.13	0.182	BARX1 (directAnnotation). 		27	2469	CDK6;CHD3;DACH1;ELMO1;EPHA7;FGFR2;IRX1;IRX2;IRX3;IRX5;MPPED2;NR2F1;NR2F2;NRG1;OSR1;PLXNA2;PTPRE;RARB;RHOU;SCARA3;SH3KBP1;SIX2;SPRY1;STOX2;TBX1;TOX3;VEGFC
8	transfac_pro__M01883	3.12	0.182	IRF4 (directAnnotation). 		25	3030	BMP7;CAMK2N1;CDK6;CHD3;EPHA7;FGF10;FGF8;FGFR2;IRX1;IRX2;IRX3;IRX5;MPPED2;NR2F1;NR2F2;NRG1;OLFML3;OSR1;PLXNA2;PTPRE;RHOU;STOX2;TBX1;TOX3;TRABD2B
8	kznf__ZKSCAN2_Imbeault2017_OM_RCADE	3.11	0.182	ZKSCAN2 (directAnnotation). 		9	321	CDK6;EPHA7;IRX1;MPPED2;NR2F1;NR2F2;PDCD4;ROBO2;TBX1
8	kznf__ZNF282_Imbeault2017_RP_RCADE	3.06	0.18	ZNF282 (directAnnotation). 		11	539	CAMK2N1;CDK6;DAB2;DACH1;NR2F1;NRG1;PDCD4;ROBO2;SPRY1;TOX3;VEGFC
8	transfac_pro__M01653	3.05	0.18	HMGA1 (directAnnotation). 		31	4509	ALX1;CAMK2N1;CDK6;CHD3;EPHA7;FAM110B;FGF8;FGFR2;IRX1;IRX2;IRX3;IRX5;ISL1;MPPED2;NCALD;NR2F1;NR2F2;NRG1;OSR1;PDCD4;PLXNA2;PTPRE;RARB;RHOU;ROBO2;SCARA3;SPRY1;STOX2;TBX1;TOX3;TRABD2B
