"signature"	"gene"	"PageRank"	"PPI_cat"	"EigenCentrality"	"p.PageRank"	"rank_by_p.PR"	"rank_by_PR"	"annd"	"p.annd"	"strength"	"rank_by_strength"	"normalized.strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"rank_by_p.ANND"
"HiG_1"	"Gnl3"	0.0039814019480407	"HiG"	0.0104376839949195	0.969	40.5	76	2	0	0.0649759603250696	47	0.000242447613153245	47	91.5	56.5
"HiG_1"	"Gpc3"	0.00800867928913101	"HiG"	3.98057570744362e-17	0.966	11.5	24	2	0	0.0337945056764251	71	0.000126098901777705	71	91.5	56.5
"HiG_1"	"H1f0"	0.0012900057447847	"HiG"	9.50119316126258e-05	0.968	29.5	109	6	0	0.00304618762332017	106	1.13663717288066e-05	106	47	56.5
"HiG_1"	"H2afy"	0.00523460816020223	"HiG"	1.86328084313651e-06	0.968	29.5	63	2	0	0.0186425514604921	90	6.95617591809405e-05	90	91.5	56.5
"HiG_1"	"H3f3a"	0.00417426472132392	"HiG"	0.0015892022882586	0.97	46.5	74	6	0	0.0509515832304383	57	0.00019011784787477	57	51	56.5
"HiG_1"	"Hadh"	0.00211069719569286	"HiG"	0.000404228147314249	0.973	69	98	3	0	0.0150766549786627	93	5.62561752935177e-05	93	75.5	56.5
"HiG_1"	"Hdac1"	0.00855933503582595	"HiG"	0.0309013517409794	0.971	50.5	23	4.51102952261312	0	0.134321319082996	26	0.000501198951802225	26	63	56.5
"HiG_1"	"Hells"	0.00473935459967417	"HiG"	2.36565322607962e-05	0.967	20	70	2	0	0.0433844854695258	61	0.00016188240846838	61	91.5	56.5
"HiG_1"	"Hmgb3"	0.00737735153079858	"HiG"	2.73237552324637e-17	0.965	4	29	1	0	0.0203013034361778	86.5	7.5751132224544e-05	86	105	56.5
"HiG_1"	"Hnrnpa3"	0.00155829216580394	"HiG"	1.97199731775757e-05	0.971	50.5	107	3	0	0.00518250172341937	102	1.93376929978335e-05	102	75.5	56.5
"HiG_1"	"Hoxa1"	0.00481737811211616	"HiG"	8.87724012951861e-06	0.967	20	69	2	0	0.0400698338524321	65	0.000149514305419523	65	91.5	56.5
"HiG_1"	"Hsp90aa1"	0.0154182157946073	"HiG"	0.273652017987528	0.972	59	10	5.92535870186557	0	0.401853993260426	7	0.00149945519873293	7	57	56.5
"HiG_1"	"Hspa5"	0.0293639925480623	"HiG"	0.832729991934823	0.979	108.5	4	8.34495123586757	0	0.830170637595794	3	0.00309765163282013	3	28	56.5
"HiG_1"	"Hspa8"	0.0480070226330995	"HiG"	1	0.978	105	1	5.58678469206683	0	1.28421636916138	1	0.00479185212373649	1	58	56.5
"HiG_1"	"Hspd1"	0.00335355891283728	"HiG"	0.0279096596852936	0.975	85.5	84	7	0	0.0608068983251506	53	0.00022689141166101	53	36.5	56.5
"HiG_1"	"Id1"	0.017349959169832	"HiG"	0.253056537226344	0.978	105	9	6.25973298355505	0	0.399094396857911	8	0.00148915819723101	8	43	56.5
"HiG_1"	"Id2"	0.0012406558250538	"HiG"	9.93003549719634e-05	0.969	40.5	111	16	0	0.00167353855346702	111	6.24454684129484e-06	111	5.5	56.5
"HiG_1"	"Id3"	0.00323400520503312	"HiG"	0.0015758817079151	0.969	40.5	87	16	0	0.0265588052997796	79	9.9100019775297e-05	79	5.5	56.5
"HiG_1"	"Ifitm2"	0.00335642982587434	"HiG"	1.36489446647202e-17	0.966	11.5	83	2	0	0.0110157854552434	98	4.11036770718039e-05	98	91.5	56.5
"HiG_1"	"Igf2bp1"	0.00210198948484446	"HiG"	0.0116642158485704	0.974	76.5	99	13	0	0.0215859836247716	85	8.05447150178044e-05	85	12	56.5
"HiG_1"	"Impdh2"	0.0034339023997324	"HiG"	0.0632555374454522	0.974	76.5	82	7	0	0.0716504481207136	41	0.000267352418360872	41	36.5	56.5
"HiG_1"	"Ivns1abp"	0.00373371160439859	"HiG"	0.00194604117853288	0.969	40.5	78	16	0	0.032797213462416	75	0.000122377662173194	75	5.5	56.5
"HiG_1"	"Lmnb1"	0.00737735153079858	"HiG"	3.14505570769221e-17	0.964	1.5	29	1	0	0.0236625520211134	82.5	8.82931045563934e-05	82	105	56.5
"HiG_1"	"Mcm7"	0.00605918578277094	"HiG"	0.000300630128898761	0.967	20	53	4.24118805567717	0	0.0615080431887482	51	0.000229507623838613	51	66	56.5
"HiG_1"	"Meis2"	0.00706722744698201	"HiG"	0.00166602310621438	0.969	40.5	42	7.73839915234784	0	0.0681357319560251	44	0.000254237805806064	44	31	56.5
"HiG_1"	"Mrto4"	0.00737735153079295	"HiG"	5.0616808382491e-17	0.966	11.5	36	1	0	0.0385974364813945	66.5	0.000144020285378338	67	105	56.5
"HiG_1"	"Ncam1"	0.00737735153079295	"HiG"	7.15766196942723e-17	0.966	11.5	36	1	0	0.0619620215214539	49.5	0.000231201572841246	50	105	56.5
"HiG_1"	"Ncl"	0.0339989418147526	"HiG"	0.826227612199667	0.981	112	3	8.37341341982984	0	0.874986071910246	2	0.00326487340265017	2	27	56.5
"HiG_1"	"Ndn"	0.0066465896408151	"HiG"	0.00483635496592777	0.968	29.5	47	2.53451107000023	0	0.0801585946841743	38	0.000299099233896173	38	81	56.5
"HiG_1"	"Nedd4"	0.00419548509631877	"HiG"	0.0170559293252286	0.974	76.5	73	10.2558108795691	0	0.040910368243567	63	0.000152650627774504	63	22	56.5
