CP_hi	CM_hi	CF_hi	CTS_15
MT-ND4L	1	0	0	1
APOLD1	1	1	0	1
DIAPH3	1	1	0	1
CENPF	1	1	0	1
HMGB2	1	1	0	1
TOP2A	1	1	0	1
SKA2	1	1	0	1
EZH2	1	1	0	1
ADD3	1	0	0	1
ASPM	1	1	0	1
CIT	1	1	0	1
NDUFAF6	1	0	0	1
SMC4	1	1	0	1
H4C3	0	0	0	1
TMPO	1	1	0	1
PFN1	1	0	0	1
FANCC	1	0	0	1
EEF1D	1	0	0	1
SRSF3	1	0	0	1
DEK	1	0	0	1
CBX5	1	0	0	1
TLE5	0	0	0	1
H1-10	1	0	0	1
CDK5RAP2	1	1	0	1
HMGN2	1	0	0	1
KIF18B	1	1	0	1
ANP32B	1	0	0	1
CBFB	1	0	0	1
H2AZ2	0	0	0	1
RAD21	0	0	0	1
WIPF1	1	0	0	1
MIS18BP1	0	0	0	1
MKI67	1	0	0	1
CEP192	1	1	0	1
FBXO34	0	0	0	1
ARHGAP35	1	0	0	1
DTL	0	1	0	1
CKAP5	1	0	0	1
EPB41L2	1	0	0	1
HP1BP3	1	0	0	1
CENPE	0	0	0	1
LMNB1	1	0	0	1
TPX2	1	0	0	1
ARHGAP11B.1	1	1	0	1
ANP32E	0	0	0	1
NCAPG2	1	0	0	1
KIF15	1	1	0	1
GTSE1	1	1	0	1
NUF2	0	0	0	1
DEPDC1B	0	0	0	1
KIF20B	0	0	0	1
SPC25	0	0	0	1
MELK	1	0	0	1
WDHD1	1	0	0	1
SLTM	0	0	0	1
POLE	1	1	0	1
KNL1	1	0	0	1
BIRC5	0	0	0	1
ZBTB44	0	0	0	1
NCAPD2	1	0	0	1
PARPBP	0	0	0	1
KIF14	0	0	0	1
NUMA1	0	0	0	1
NCAPG	0	0	0	1
C21orf58	1	0	0	1
CDC25C	1	0	0	1
SETX	1	0	0	1
KIF11	1	0	0	1
ECT2	0	0	0	1
G2E3	0	0	0	1
CLPTM1L	1	0	0	1
PPP1CA	0	0	0	1
CASP8AP2	1	0	0	1
MAN2A1	1	0	0	1
MAP2K2	0	0	0	1
BTF3L4	0	0	0	1
