"network","AUC","normalized_AUC","ID"
"small_world",0.983333333333333,1,"HiGCTS_16.1"
"deg_preserving",0.201515151515152,0.204930662557781,"HiGCTS_16.1"
"real_PPIN",0.307142857142857,0.323308270676692,"HiGCTS_8"
"random",0.95,1,"HiGCTS_8"
"scale_free",0.95,1,"HiGCTS_8"
"small_world",0.95,1,"HiGCTS_8"
"deg_preserving",0.292857142857143,0.308270676691729,"HiGCTS_8"
"real_PPIN",0.237727910238429,0.241625089094797,"CTS_7"
"random",0.983870967741935,1,"CTS_7"
"scale_free",0.983870967741935,1,"CTS_7"
"small_world",0.983870967741935,1,"CTS_7"
"deg_preserving",0.271388499298738,0.27583749109052,"CTS_7"
"real_PPIN",0.184095860566449,0.185918591859185,"CTS_11"
"random",0.990196078431378,1,"CTS_11"
"scale_free",0.990196078431378,1,"CTS_11"
"small_world",0.990196078431378,1,"CTS_11"
"deg_preserving",0.169730392156863,0.171410891089108,"CTS_11"
"real_PPIN",0.312373737373737,0.314758269720101,"CTS_15"
"random",0.992424242424244,1,"CTS_15"
"scale_free",0.992424242424244,1,"CTS_15"
"small_world",0.992424242424244,1,"CTS_15"
"deg_preserving",0.277272727272727,0.279389312977099,"CTS_15"
"real_PPIN",0.250801282051282,0.254058441558442,"CTS_16"
"random",0.987179487179484,1,"CTS_16"
"scale_free",0.987179487179484,1,"CTS_16"
"small_world",0.987179487179484,1,"CTS_16"
"deg_preserving",0.178733031674208,0.18105423987777,"CTS_16"
"real_PPIN",0.246646514264123,0.248217511170264,"CTS_16.1"
"random",0.993670886075947,1,"CTS_16.1"
"scale_free",0.993670886075947,1,"CTS_16.1"
"small_world",0.993670886075947,1,"CTS_16.1"
"deg_preserving",0.235688645380692,0.237189846943627,"CTS_16.1"
"real_PPIN",0.210185185185184,0.211951447245564,"CTS_13"
"random",0.991666666666669,1,"CTS_13"
"scale_free",0.991666666666669,1,"CTS_13"
"small_world",0.991666666666669,1,"CTS_13"
"deg_preserving",0.165,0.166386554621848,"CTS_13"
"real_PPIN",0.294367283950617,0.297118380062305,"CTS_8"
"random",0.990740740740739,1,"CTS_8"
"scale_free",0.990740740740739,1,"CTS_8"
"small_world",0.990740740740739,1,"CTS_8"
"deg_preserving",0.236882716049382,0.239096573208723,"CTS_8"
