signature	gene	normalized.strength	PPI_cat	rank_by_normalized.strength	PCGC_AllCurated
HiG_CP	RPL26	0.046868754067941	HiG	5	FALSE
HiG_endoderm	APOA1	0.0593935463832196	HiG	1	FALSE
HiG_endoderm	APOA2	0.0503695949824042	HiG	2	FALSE
HiG_endoderm	APOE	0.0489064150532615	HiG	3	FALSE
HiG_endoderm	APOC1	0.0481370453118218	HiG	4	FALSE
HiG_endoderm	TTR	0.0284818448013554	HiG	5	FALSE
HiG_muscle	ACTB	0.0527827121447027	HiG	1	FALSE
HiG_muscle	TAGLN	0.0518939246176817	HiG	2	FALSE
HiG_muscle	TPM1	0.0499869235394078	HiG	3	FALSE
HiG_muscle	ACTA2	0.0443056583273605	HiG	4	TRUE
HiG_muscle	CALD1	0.0394939931924813	HiG	5	FALSE
