geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
4	tfdimers__MD00098	3.38	0.0783	Fos; Fosb; Fosl1; Fosl2; Irf8; Jun; Junb; Jund (inferredBy_Orthology). 	Batf (inferredBy_MotifSimilarity). Arid3a; Bach1; Bach2; Batf3; Cebpa; Cebpb; Cebpd; Cebpe; Cebpg; Dbp; Dbx2; E2f1; Foxm1; Hmga1b; Hmga2; Hoxa13; Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Isl1; Maf; Mafb; Maff; Mafg; Mafk; Meis1; Nfe2; Nfe2l1; Nfe2l2; Nfe2l3; Nkx6-2; Pax4; Pdx1; Pou3f2; Pparg; Pura; Spi1; Stat1; Stat6; Vdr; Zeb1 (inferredBy_MotifSimilarity_n_Orthology). 	11	1152	Add2;Ank1;Apol11b;Col5a1;E330020D12Rik;Gzmc;Pdzph1;Popdc2;Prkg1;Sptb;Tspo2
4	transfac_pro__M03539	3.37	0.0781	Ctnnb1 (directAnnotation). 		11	923	Car1;Ccdc171;Coro2b;Ddah1;Ephx1;Gm10532;Mageb16;Rln1;Spire2;Tspan8;Zfp365
4	hdpi__ZBTB25	3.33	0.0776	Zbtb25 (inferredBy_Orthology). 		12	1235	Adgrg2;Alas2;Ank1;Dapk2;Fgf3;Gm10532;Mageb16;Plscr2;Prkg1;Ptpdc1;Serpine1;Tnfsf4
4	tfdimers__MD00305	3.3	0.0771	Nr3c1 (inferredBy_Orthology). 	Gata1; Gata2; Gata3; Gata5; Gata6; Tal1 (inferredBy_MotifSimilarity). Ccnt2; Cebpa; Cebpb; Cebpd; Cebpe; Cebpg; Elk1; Fos; Fosb; Fosl1; Fosl2; Foxa1; Foxa2; Foxa3; Gata4; Hoxa9; Ing4; Jun; Junb; Jund; Mycs; Ncoa1; Pax4; Pparg; Smad4; Trps1; Yy1; Zglp1 (inferredBy_MotifSimilarity_n_Orthology). 	22	2366	9330162012Rik;Apol11b;Aqp1;Atp1b2;Ermap;Gypa;H19;Hbb-bs;Il1bos;Klf1;Pak6;Pcyt1b;Psg17;Rln1;Slc24a1;Slc38a5;Slc4a1;Spta1;Tmem27;Tmem56;Trim10;Tspo2
4	tfdimers__MD00120	3.28	0.0768	Pou2f2; Yy1 (inferredBy_Orthology). 	Nanog; Pou2af1; Pou2f1; Pou3f1; Pou3f2; Pou3f3; Pou3f4; Pou4f1; Pou5f1; Sox2 (inferredBy_MotifSimilarity). Ccdc160; Cdx2; Cebpa; Cebpb; Cebpd; Cebpe; Cebpg; E2f1; Hoxd1; Maf; Pax4; Pbx1; Pdx1; Pou1f1; Pou2f3; Pou5f2; Smad1; Sox9; Sry; Tcf7l1 (inferredBy_MotifSimilarity_n_Orthology). 	4	143	Ank1;Coro2b;H19;Zfp365
4	taipale_tf_pairs__HOXB2_SOX15_ACAAWRSNNNNYMATTA_CAP_repr	3.25	0.0763	Hoxb2; Sox15 (inferredBy_Orthology). 	Lhx1; Mnx1; Msx2; Msx3 (inferredBy_MotifSimilarity). Hesx1 (inferredBy_MotifSimilarity_n_Orthology). 	12	1302	Add2;Ank1;Col5a1;Fcer1g;Fgf3;Paqr9;Plscr2;Prkg1;Serpine1;Tmem56;Trim10;Tspan8
4	tfdimers__MD00338	3.22	0.076	Cebpa; Cebpb; Cebpd; Cebpe; Cebpg; Sox9 (inferredBy_Orthology). 	Nanog (inferredBy_MotifSimilarity). Cdx2; Crx; Dbp; E2f1; Ep300; Foxa1; Foxa2; Foxa3; Foxl1; Gfi1; Gfi1b; Ikzf1; Irf1; Irf2; Irf3; Irf4; Irf5; Irf6; Irf7; Irf8; Maf; Nfia; Nfic; Nr3c1; Pax4; Pbx1; Pdx1; Pou2f1; Pou2f2; Pou3f1; Pou5f1; Smad1; Sox10; Sox2; Spi1; Sry; Stat6; Tbp; Tcf7l1; Tead1; Vdr; Yy1; Zeb1; Zfp354c (inferredBy_MotifSimilarity_n_Orthology). 	19	2380	Aqp1;Btn1a1;Car1;Cldn13;Col1a2;D930028M14Rik;Mageb16;Paqr9;Pcyt1b;Prkg1;Rhag;Rhox12;Samd11;Slc24a1;Spta1;Tgfbr3;Tm4sf20;Tmem27;Tnfsf4
4	transfac_pro__M07479	3.13	0.0746	Zfp105 (inferredBy_Orthology). 		15	1602	Add2;Ank1;Bank1;Btn1a1;Col1a2;Kel;Mageb16;Pcyt1b;Serpine1;Slc25a21;Slc38a5;Slc6a5;Spta1;Tspo2;Zfp365
4	transfac_pro__M06913	3.13	0.0746	Zfy1; Zfy2 (inferredBy_Orthology). 		4	185	Ddah1;Gypa;Paqr9;Trim10
4	tfdimers__MD00002	3.1	0.0741	Crx (inferredBy_Orthology). 	Hnf1a; Hnf1b (inferredBy_MotifSimilarity). Bptf; Cdx2; Cux1; Dbx2; Fos; Fosb; Fosl1; Fosl2; Foxo1; Gata3; Hmbox1; Hnf4a; Hnf4g; Hoxa10; Hoxa13; Hoxc8; Irx4; Isl1; Jun; Junb; Jund; Myb; Nfe2l1; Nfya; Nfyb; Nfyc; Nkx3-1; Nkx3-2; Nkx6-2; Nr1h4; Nr1i2; Nr1i3; Nr2f1; Nr2f2; Pax4; Pbx1; Pdx1; Pou1f1; Pou2f1; Pou3f1; Pou3f2; Pparg; Rax; Rxra; Taf6; Tbp; Tlx2 (inferredBy_MotifSimilarity_n_Orthology). 	14	1302	Add2;Adgrg2;Ank1;Col1a2;Dapk2;Ddah1;Paqr9;Ptpdc1;Reps2;Rhd;Serpine1;Sptb;Tmem27;Tspan8
4	metacluster_9.17	3.08	0.0738	En1 (directAnnotation). 	Alx1; Alx4; Arx; Barhl1; Emx2; En2; Esx1; Evx1; Gbx1; Hoxa3; Hoxa7; Hoxb7; Hoxc5; Lbx2; Lhx2; Lhx3; Lhx6; Mnx1; Msx1; Msx3; Nkx6-1; Nkx6-3; Pax4; Pax6; Pax7; Phox2a; Pou2f1; Pou3f1; Pou3f2; Pou3f4; Prrx1; Uncx; Vsx1 (inferredBy_MotifSimilarity). Alx3; Barx2; Dbx2; Hoxb3; Hoxb4; Hoxd1; Isl2; Lhx9; Msx2; Nkx1-2; Nobox; Phox2b; Pou1f1; Prop1; Prrx2; Rax; Shox2; Vax2 (inferredBy_MotifSimilarity_n_Orthology). 	17	2066	Alas2;Ank1;Coro2b;D930028M14Rik;Ephx1;Fgf3;Gypa;Paqr9;Pcyt1b;Prkg1;Psg17;Slc24a1;Slc6a5;Sox30;Sptb;Tubb3;Zfp365
4	transfac_pro__M04844	3.08	0.0738	Max (inferredBy_Orthology). 		7	372	Ank1;Ccdc171;Ephx1;Rhd;Slc6a5;Tubb3;Zfp365
4	transfac_pro__M04949	3.08	0.0737	Gata2 (inferredBy_Orthology). 		6	387	Add2;Aqp1;Col1a2;Col5a1;Dapk2;Fgf3
4	transfac_pro__M06522	3.07	0.0737	2610021A01Rik; Gm28168; Gm28360; Gm7145; Zfp54; Zfp941 (inferredBy_Orthology). 		4	113	Col1a2;D930028M14Rik;Reps2;Slc38a5
4	tfdimers__MD00043	3.02	0.073	Hand1; Hnf4a; Hnf4g; Nr2f1; Nr2f2; Tcf3 (inferredBy_Orthology). 	Ascl1; Atf1; Atf2; Atf3; Atf4; Atf7; Bach1; Bach2; Cebpg; Churc1; Creb1; Crem; Cux1; Foxm1; Gm28047; Hic1; Hsf1; Hsf2; Ikzf2; Ing4; Maf; Mafa; Mafb; Maff; Mafg; Mafk; Meis1; Myb; Mycs; Myf5; Myf6; Myod1; Myog; Mzf1; Neurod1; Nfe2; Nfe2l1; Nfe2l2; Nfe2l3; Nfia; Nfic; Nr1h4; Nr3c1; Pgr; Ppara; Pura; Rfx1; Rfx2; Rfx3; Rfx4; Rfx5; Rfxank; Rfxap; Runx3; Rxra; Smad3; Srebf1; Srebf2; Tbx5; Tcf12; Tcf4; Tfap2a; Usf1; Yy1; Zfp42 (inferredBy_MotifSimilarity_n_Orthology). 	19	2198	Add2;Ank1;Col1a2;Ermap;Fgf3;Pak6;Paqr9;Plscr2;Popdc2;Prkg1;Serpine1;Slc25a21;Slc4a1;Slc6a5;Sox30;Sptb;Tgfbr3;Tmem27;Zfp365
4	transfac_pro__M04808	3.02	0.0729	Hnf4a (inferredBy_Orthology). 		7	499	Ank1;Car1;Fgf3;Gypa;Kel;Slc25a21;Tnfsf4
