signature	gene	PageRank	PPI_cat	rank_by_PR	normalized.strength	rank_by_normalized.strength	PCGC_AllCurated
HiG_2	NRXN1	0.0115545757990798	HiG	2	0.00997771830517988	2	FALSE
HiG_2	PTPRD	0.00917319898265638	HiG	5	0.00764403569220008	6	FALSE
HiG_2	RBFOX1	0.0101382980750506	HiG	3	0.00815734650160072	4	FALSE
HiG_3	CNTNAP2	0.0175760666948112	HiG	2	0.0132820891363486	2	FALSE
HiG_3	GRIA1	0.0156762468978345	HiG	3	0.0122900789801961	3	FALSE
HiG_3	NRXN1	0.0194422740303203	HiG	1	0.014638632663338	1	FALSE
HiG_3	PTPRD	0.0138487390061955	HiG	5	0.00955807414423514	5	FALSE
HiG_3	RBFOX1	0.0155534300577091	HiG	4	0.0109831240943034	4	FALSE
HiG_4	ACTB	0.010550643463082	HiG	5	0.0443555955055609	69	FALSE
HiG_4	CNTNAP2	0.0115625825512779	HiG	3	0.0200320811182956	85	FALSE
HiG_4	GAPDH	0.014944668311507	HiG	1	0.0616354670378621	68	FALSE
HiG_4	NRXN1	0.0145340738075657	HiG	2	0.0259047331262389	79	FALSE
HiG_4	RPS27A	0.0105821291880568	HiG	4	0.108613644631629	4	FALSE
HiG_5	CNTNAP2	0.0108242188938488	HiG	3	0.00796052592890504	2	FALSE
HiG_5	NRXN1	0.0105788040630211	HiG	4	0.00766039434695554	5	FALSE
HiG_5	PTPRD	0.0130132335156095	HiG	1	0.009199488077944	1	FALSE
HiG_5	RBFOX1	0.0113105846387819	HiG	2	0.00786279822493695	3	FALSE
HiG_5	RPS27A	0.0102462750242607	HiG	5	0.00769630595677826	4	FALSE
HiG_6	CACNA1C	0.00787979545915764	HiG	2	0.00995349782353268	1	TRUE
HiG_6	CNTNAP2	0.00671582274750086	HiG	4	0.00824659168397056	4	FALSE
HiG_6	GRIA1	0.00679176673678689	HiG	3	0.00877699222149826	3	FALSE
HiG_6	NRXN1	0.00652423975079929	HiG	5	0.0079578037146943	5	FALSE
HiG_6	PTPRD	0.00796936481749955	HiG	1	0.00955310015961731	2	FALSE
HiG_7	BRCA1	0.0107215214277556	HiG	3	0.010267803622185	15	FALSE
HiG_7	CNTNAP2	0.0113822088250491	HiG	2	0.0110925519026714	14	FALSE
HiG_7	NRXN1	0.0126976421601833	HiG	1	0.0118546029942275	13	FALSE
HiG_7	PTPRD	0.0105114485136193	HiG	4	0.00938415454420378	17	FALSE
HiG_7	RBFOX1	0.0102109517210241	HiG	5	0.00926169729176915	18	FALSE
HiG_8	ANK2	0.0120556172541191	HiG	3	0.00854302260382489	5	FALSE
HiG_8	CACNA1C	0.011616201959674	HiG	5	0.00857098456260261	4	TRUE
HiG_8	NLGN1	0.0118332019224884	HiG	4	0.00917376988833364	3	FALSE
HiG_8	NRXN1	0.012468687169276	HiG	2	0.00918328776304396	2	FALSE
HiG_8	RBFOX1	0.0157005544853213	HiG	1	0.0112488406415938	1	FALSE
HiG_9	ANK2	0.0157465952786361	HiG	3	0.0165774615914385	4	FALSE
HiG_9	CNTNAP2	0.0174746044904851	HiG	1	0.0190791450689975	1	FALSE
HiG_9	MAPT	0.0151674310470914	HiG	4	0.0173222287906431	2	FALSE
HiG_9	RBFOX1	0.0161221326755651	HiG	2	0.0171663482619585	3	FALSE
HiG_9	SYT1	0.0136897745666446	HiG	5	0.0153795574711116	5	FALSE
