"signature"	"gene"	"PPI_cat"	"rank_by_PR"	"PCGC_AllCurated"
"HiG_16"	"Actg1"	"HiG"	5	FALSE
"HiG_16"	"Anxa2"	"HiG"	3	FALSE
"HiG_16"	"Hspa5"	"HiG"	4	FALSE
"HiG_17"	"Acta2"	"HiG"	2	TRUE
"HiG_17"	"Actc1"	"HiG"	5	TRUE
"HiG_17"	"Gapdh"	"HiG"	1	FALSE
"HiG_17"	"Myl2"	"HiG"	4	FALSE
"HiG_17"	"Tpm1"	"HiG"	3	FALSE
"HiG_18"	"Acta2"	"HiG"	4	TRUE
"HiG_18"	"Actb"	"HiG"	1	FALSE
"HiG_18"	"Actg1"	"HiG"	3	FALSE
"HiG_18"	"Hspa5"	"HiG"	2	FALSE
"HiG_18"	"Hspa8"	"HiG"	5	FALSE
"HiG_19"	"Acta2"	"HiG"	2	TRUE
"HiG_19"	"Akt1"	"HiG"	1	FALSE
"HiG_19"	"Fn1"	"HiG"	3	FALSE
"HiG_19"	"Itgb1"	"HiG"	5	FALSE
"HiG_19"	"Mapk3"	"HiG"	4	FALSE
"HiG_2"	"Acta2"	"HiG"	2	TRUE
"HiG_2"	"Actb"	"HiG"	4	FALSE
"HiG_2"	"Actc1"	"HiG"	5	TRUE
"HiG_2"	"Gapdh"	"HiG"	1	FALSE
"HiG_2"	"Tpm1"	"HiG"	3	FALSE
"HiG_3"	"Acta2"	"HiG"	4	TRUE
"HiG_3"	"Actb"	"HiG"	3	FALSE
"HiG_3"	"Eif4a1"	"HiG"	5	FALSE
"HiG_3"	"Hspa5"	"HiG"	1	FALSE
"HiG_3"	"Hspa8"	"HiG"	2	FALSE
"HiG_4"	"Hsp90aa1"	"HiG"	3	FALSE
"HiG_4"	"Hspa5"	"HiG"	4	FALSE
"HiG_4"	"Hspa8"	"HiG"	1	FALSE
"HiG_4"	"Hspd1"	"HiG"	5	FALSE
"HiG_4"	"Npm1"	"HiG"	2	FALSE
"HiG_5"	"Hsp90aa1"	"HiG"	4	FALSE
"HiG_5"	"Hspa8"	"HiG"	2	FALSE
"HiG_5"	"Hspd1"	"HiG"	5	FALSE
