"signature"	"gene"	"PPI_cat"	"normalized.strength"	"PCGC_AllCurated"
"HiG_12"	"Eif4a1"	"HiG"	0.0118788784713195	FALSE
"HiG_12"	"Hsp90aa1"	"HiG"	0.0118505011105817	FALSE
"HiG_12"	"Trp53"	"HiG"	0.0114253419064971	FALSE
"HiG_13"	"Hspa5"	"HiG"	0.00960939583849444	FALSE
"HiG_13"	"Hspa8"	"HiG"	0.00877772163967058	FALSE
"HiG_13"	"Npm1"	"HiG"	0.00812486747279186	FALSE
"HiG_13"	"Trp53"	"HiG"	0.00796918479788936	FALSE
"HiG_13"	"Hsp90aa1"	"HiG"	0.00771176190375875	FALSE
"HiG_14"	"Hspa8"	"HiG"	0.0122586191236027	FALSE
"HiG_14"	"Hsp90aa1"	"HiG"	0.0118896580100469	FALSE
"HiG_14"	"Npm1"	"HiG"	0.0112661726845972	FALSE
"HiG_14"	"Eif4a1"	"HiG"	0.0107254954608869	FALSE
"HiG_14"	"Hspa5"	"HiG"	0.0100876102627315	FALSE
"HiG_15"	"Actb"	"HiG"	0.00987542566159801	FALSE
"HiG_15"	"Hsp90aa1"	"HiG"	0.007689087463327	FALSE
"HiG_15"	"Trp53"	"HiG"	0.00739476799125299	FALSE
"HiG_15"	"Hspa8"	"HiG"	0.00658689390700162	FALSE
"HiG_15"	"Npm1"	"HiG"	0.00650501452143282	FALSE
"HiG_16"	"Acta2"	"HiG"	0.00872663409564958	TRUE
"HiG_16"	"Actb"	"HiG"	0.00845296232844569	FALSE
"HiG_16"	"Anxa2"	"HiG"	0.00730226536874886	FALSE
"HiG_16"	"Hspa5"	"HiG"	0.00655305091408102	FALSE
"HiG_16"	"Actg1"	"HiG"	0.00651325903450707	FALSE
"HiG_17"	"Gapdh"	"HiG"	0.0110954013564887	FALSE
"HiG_17"	"Tpm1"	"HiG"	0.00659842493892428	FALSE
"HiG_17"	"Acta2"	"HiG"	0.00650254802823316	TRUE
"HiG_17"	"Myl2"	"HiG"	0.0061358503122923	FALSE
"HiG_17"	"Actc1"	"HiG"	0.00604319438728416	TRUE
"HiG_18"	"Actb"	"HiG"	0.00485767082787685	FALSE
"HiG_18"	"Hspa5"	"HiG"	0.00419745866613986	FALSE
"HiG_18"	"Actg1"	"HiG"	0.0037321577371868	FALSE
"HiG_18"	"Hspa8"	"HiG"	0.00360614832541522	FALSE
