signature	gene	PageRank	BetweennessCentrality	is_CHD	is_TF
HiG_cardiac.a	CRELD2	0.00168128274250503	0	FALSE	FALSE
HiG_cardiac.a	CRIP2	0.000822327669662825	0	FALSE	FALSE
HiG_cardiac.a	CRYAB	0.0033498405290075	1358	FALSE	FALSE
HiG_cardiac.a	CSRP1	0.00284468306502995	269	FALSE	FALSE
HiG_cardiac.a	CSRP2	0.00109418304020344	0	FALSE	FALSE
HiG_cardiac.a	CSRP3	0.00235578790614078	27	FALSE	FALSE
HiG_cardiac.a	CST3	0.00156689441844232	196	FALSE	FALSE
HiG_cardiac.a	CTNNA1	0.00324985517131564	505	FALSE	FALSE
HiG_cardiac.a	CTNNBIP1	0.00103476644441366	0	FALSE	FALSE
HiG_cardiac.a	CTXN1	0.000637185880161943	0	FALSE	FALSE
HiG_cardiac.a	DAB2	0.00289988361053021	78	FALSE	FALSE
HiG_cardiac.a	DBN1	0.00573164528321989	1289	FALSE	FALSE
HiG_cardiac.a	DCAKD	0.00165142484094767	374	FALSE	FALSE
HiG_cardiac.a	DCTPP1	0.000758130706586621	0	FALSE	FALSE
HiG_cardiac.a	DDAH2	0.00192008411277434	380	FALSE	FALSE
HiG_cardiac.a	DEGS1	0.000839907582906732	8	FALSE	FALSE
HiG_cardiac.a	DEK	0.00379930167934302	122	FALSE	FALSE
HiG_cardiac.a	DKC1	0.00577996733017614	554	FALSE	FALSE
HiG_cardiac.a	DLK1	0.00553958853739707	1997	FALSE	FALSE
HiG_cardiac.a	DNAJB11	0.00586689164562709	1189	FALSE	FALSE
HiG_cardiac.a	DNAJC3	0.00503983533741437	0	FALSE	FALSE
HiG_cardiac.a	DOK4	0.000452390403111421	0	FALSE	FALSE
HiG_cardiac.a	DUSP9	0.00170180124194295	613	FALSE	FALSE
HiG_cardiac.a	DUT	0.00354086657656495	249	FALSE	FALSE
HiG_cardiac.a	DYNLL1	0.00212372363911289	0	FALSE	FALSE
HiG_cardiac.a	EBNA1BP2	0.00314599500058483	1259	FALSE	FALSE
HiG_cardiac.a	EEF1E1	0.000810968255967579	0	FALSE	FALSE
HiG_cardiac.a	EFHD2	0.000798199537140161	0	FALSE	FALSE
HiG_cardiac.a	EIF4EBP1	0.000901272257177016	0	FALSE	FALSE
HiG_cardiac.a	EMB	0.00071346105752008	0	FALSE	FALSE
HiG_cardiac.a	ENO3	0.00135666202251843	0	FALSE	FALSE
HiG_cardiac.a	EZR	0.00836477530452027	1914	FALSE	FALSE
HiG_cardiac.a	FABP5	0.00136020595242494	29	FALSE	FALSE
HiG_cardiac.a	FBLN1	0.00145666573145963	10	FALSE	FALSE
HiG_cardiac.a	FERMT2	0.0030856523260022	34	FALSE	FALSE
HiG_cardiac.a	FHL1	0.00256885763138884	280	FALSE	FALSE
HiG_cardiac.a	FKBP4	0.00367569531373229	488	FALSE	FALSE
HiG_cardiac.a	FN1	0.00795262404908818	1166	FALSE	FALSE
HiG_cardiac.a	FOXF1	0.00238734429475422	368	TRUE	FALSE
HiG_cardiac.a	FSCN1	0.00258909557175464	141	FALSE	FALSE
HiG_cardiac.a	FSTL1	0.00192746442837797	28	FALSE	FALSE
HiG_cardiac.a	FTH1	0.000479347854286823	0	FALSE	FALSE
HiG_cardiac.a	FXYD6	0.000753486904540782	0	FALSE	FALSE
HiG_cardiac.a	G3BP2	0.00266197819049643	12	FALSE	FALSE
HiG_cardiac.a	GABARAP	0.00420451994349953	748	FALSE	FALSE
HiG_cardiac.a	GADD45G	0.00105536333995717	0	FALSE	FALSE
HiG_cardiac.a	GALK1	0.000734035249258498	0	FALSE	FALSE
HiG_cardiac.a	GAR1	0.00344130256835625	111	FALSE	FALSE
HiG_cardiac.a	GATA4	0.00575453365374106	836	TRUE	FALSE
HiG_cardiac.a	GATA5	0.00133625341862332	6	TRUE	FALSE
HiG_cardiac.a	GATA6	0.00377277939865571	1012	TRUE	FALSE
HiG_cardiac.a	GJA1	0.00377464761987791	365	TRUE	FALSE
HiG_cardiac.a	GJC1	0.000513784421798873	0	FALSE	FALSE
HiG_cardiac.a	GNL3	0.0044231390895796	72	FALSE	FALSE
HiG_cardiac.a	GPC3	0.0016632032044743	109	TRUE	FALSE
HiG_cardiac.a	GPX3	0.000805600503909889	0	FALSE	FALSE
HiG_cardiac.a	GPX4	0.0021444957864988	33	FALSE	FALSE
