geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
CP.1	metacluster_167.2	3.59	0.127	BCL11A; BCL11A; BCL11A; EP300; IKZF2; IKZF2; IRF4; IRF4; IRF4; IRF8; PRDM1; SPI1; TBL1XR1; ZBED1; ZNF41 (directAnnotation). IKZF1; IRF4; IRF4; SPI1 (inferredBy_Orthology). 	BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; BCL11A; DBP; DPF2; DPF2; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; E2F1; EHF; EHF; ELF1; ELF1; ELF2; ELF2; ELF4; ELK1; ELK1; ELK3; ELK4; ELK4; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; EP300; ERF; ERG; ERG; ETS1; ETS1; ETS2; ETS2; ETV4; ETV5; ETV6; ETV7; ETV7; FLI1; FLI1; FOXM1; FOXM1; GABPA; GABPA; GABPB1; HOXA13; HOXA13; IKZF1; IKZF1; IKZF1; IKZF1; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IKZF2; IRF1; IRF1; IRF1; IRF1; IRF1; IRF1; IRF1; IRF1; IRF1; IRF1; IRF2; IRF2; IRF2; IRF2; IRF2; IRF2; IRF2; IRF2; IRF3; IRF3; IRF3; IRF3; IRF3; IRF3; IRF3; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF4; IRF5; IRF5; IRF5; IRF5; IRF5; IRF6; IRF6; IRF6; IRF6; IRF6; IRF7; IRF7; IRF7; IRF7; IRF7; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF8; IRF9; IRF9; IRF9; KLF4; KLF4; LTF; LTF; LTF; LTF; MYB; MYB; MYB; MYB; MYB; MYB; MYB; MYB; MYB; MYB; MYB; NFATC3; NFATC3; NFATC3; NFATC3; NFATC3; NFATC3; NFATC3; NFATC3; POU5F1; POU5F1; POU5F1; PRDM1; PURA; PURA; RFX1; RFX2; RFX3; RFX4; RFX5; RFXANK; RFXAP; SIRT6; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPI1; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; SPIB; STAT1; STAT1; STAT1; STAT1; STAT1; STAT1; STAT2; STAT5A; STAT5A; STAT6; TAF1; TAF6; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBL1XR1; TBP; TCF7L1; TCF7L2; TCF7L2; YY1; ZBED1; ZBED1; ZBED1; ZBED1; ZEB1; ZEB1; ZEB1; ZEB1; ZEB1; ZNF426 (inferredBy_MotifSimilarity). ATF2; ETS1; ETS1; ETS1; ETS1; ETS1; IKZF1; IKZF1; IKZF1; IKZF1; SPI1 (inferredBy_MotifSimilarity_n_Orthology). 	7	213	ATN1;BMP5;CHST9;FGF10;ISL1;PTMS;ZEB2
CP.1	hocomoco__SPIC_HUMAN.H11MO.0.D	3.56	0.126	SPIC (directAnnotation). 		39	4997	ATN1;BMP5;BMPER;C16orf87;C1orf21;CCKBR;CCND2;CGNL1;CHIC2;CHST9;DYNC1I1;FAM89A;FGF10;GPC6;H1F0;HAPLN1;HAS2;IGF2BP1;ISL1;ITM2C;JAG1;KIAA1324L;LIN28B;LINC00888;LRP2;MEIS1;NAV1;PPFIBP1;PPP1R1A;PTMS;PTPN13;SC5D;SEMA3E;SLC40A1;TIPARP;TP53I11;WLS;ZEB2;ZNF608
CP.1	cisbp__M00768	3.52	0.125	ZSCAN10 (inferredBy_Orthology). 		17	1285	ATN1;BMP5;CCND2;CHST9;DUSP6;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;LIN28B;LRP2;NAV1;PPP1R1A;PTMS;PTPN13;ZEB2
CP.1	hdpi__PDLIM5	3.52	0.125	PDLIM5 (directAnnotation). 		46	4748	ATN1;BMP5;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;CLGN;CYP1B1;DAB1;DUSP6;DYNC1I1;ENC1;FAM89A;FGF10;GATA6;GPC6;H1F0;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;KDR;LAMA1;LIN28B;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;TP53I11;USP27X;WLS;ZEB2
CP.1	kznf__EGR2_Barrera2016.2_PBM	3.51	0.125	EGR2 (directAnnotation). 		36	3044	ATN1;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;DAB1;DUSP6;ENC1;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;JAG1;LAMA1;LIN28B;LINC00888;LPGAT1;LRP2;MEIS1;NAV1;PPFIBP1;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;WLS;ZEB2
CP.1	transfac_pro__M00706	3.51	0.125	GTF2I (directAnnotation). 		42	4590	ATN1;BMP5;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;CLGN;DUSP6;DYNC1I1;ENC1;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;ISL1;ITM2C;JAG1;LIN28B;LINC00888;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PRTG;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SEMA3E;SLC40A1;SLC7A2;TIPARP;ZEB2
CP.1	dbtfbs__PRDM10_representative_N1	3.49	0.124	PRDM10 (directAnnotation). 		13	714	ATN1;C1orf21;CCND2;CHST9;ENC1;FGF10;HAPLN1;HAS2;IGF2BP1;LPGAT1;NAV1;PTPN13;ZEB2
CP.1	transfac_pro__M07361	3.48	0.124	MZF1 (directAnnotation). 		30	2654	ATN1;C1orf21;CA2;CCND2;CHST9;DUSP6;ENC1;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;KIAA1324L;LIN28B;LPGAT1;LRP2;NAV1;PPFIBP1;PPP1R1A;PTMS;PTPN13;RHOBTB3;SC5D;SLC40A1;SLC7A2;TIPARP;WLS;ZEB2
CP.1	hocomoco__WT1_HUMAN.H11MO.1.B	3.48	0.124	WT1 (directAnnotation). 		39	4748	ATN1;BMP5;BMPER;C1orf21;CCND2;CGNL1;CHST9;DUSP6;ENC1;FAM89A;FGF10;GATA6;GPC6;H1F0;HAND2;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;KIAA1324L;LAMA1;LIN28B;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PRTG;PSTPIP2;PTMS;PTPN13;SAMD11;SC5D;SLC25A37;TIPARP;ZEB2
CP.1	transfac_pro__M01835	3.48	0.124	KLF4 (directAnnotation). 		40	4748	ATN1;BMP5;BMPER;C16orf87;C1orf21;CCND2;CGNL1;CHST9;CLGN;DAB1;DUSP6;ENC1;FAM89A;FGF10;GATA6;GPC6;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;LIN28B;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;USP27X;WLS;ZEB2
CP.1	metacluster_32.29	3.47	0.124	FOXM1 (directAnnotation). 	TBL1XR1 (inferredBy_MotifSimilarity). IKZF1 (inferredBy_MotifSimilarity_n_Orthology). 	9	372	BMP5;CCND2;CHST9;FGF10;GATA6;HAND2;IGF2BP1;ZEB2;ZNF608
CP.1	metacluster_35.8	3.46	0.124	ZNF132; ZNF132 (directAnnotation). 		9	368	ATN1;C1orf21;CCND2;CHST9;FGF10;IGF2BP1;NAV1;PTMS;TIPARP
