geneSet	motif	NES	AUC	TF_highConf	TF_lowConf	nEnrGenes	rankAtMax	enrichedGenes
CP.1	transfac_pro__M01219	3.2	0.118	SP1 (directAnnotation). SP3 (inferredBy_Orthology). 		44	4748	ATN1;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHIC2;CHST9;CITED2;CLGN;DUSP6;DYNC1I1;ENC1;ENTPD4;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;JAG1;LAMA1;LIN28B;LINC00888;LPGAT1;LRP2;NINL;PLCE1;PPFIBP1;PRTG;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;TP53I11;USP27X;WLS;ZC3H6;ZEB2
CP.1	kznf__ZNF846_Imbeault2017_RP_ChIP-seq	3.2	0.117	ZNF846 (directAnnotation). 	SP1 (inferredBy_MotifSimilarity_n_Orthology). 	35	3070	ATN1;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;DUSP6;ENC1;FAM89A;GPC6;HAPLN1;HAS2;IGF2BP1;JAG1;LAMA1;LPGAT1;LRP2;NAV1;PLCE1;PPFIBP1;PRTG;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;TP53I11;USP27X;ZC3H6;ZEB2
CP.1	tfdimers__MD00332	3.19	0.117	PURA; ZBTB14 (directAnnotation). 	BACH1; BACH2; CHURC1; EP300; GATA1; KLF13; KLF4; KLF9; MAF; MAFB; MAFF; MAFG; MAFK; MAZ; MTF1; MZF1; NFE2; NFE2L1; NFE2L2; NFE2L3; NR3C1; PATZ1; PAX4; RARA; RARB; RARG; RXRA; RXRB; RXRG; SP1; SP2; SP3; SP4; SREBF1; SREBF2; THRA; THRB; VEZF1; WT1; ZNF148; ZNF202; ZNF432 (inferredBy_MotifSimilarity). 	40	4126	ATN1;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;CLGN;DUSP6;DYNC1I1;ENC1;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;LAMA1;LIN28B;LINC00888;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PRTG;PTMS;PTPN13;RHOBTB3;SC5D;SLC40A1;SLC7A2;TIPARP;WLS;ZC3H6;ZEB2
CP.1	transfac_public__M00083	3.19	0.117	MZF1 (directAnnotation). 		38	3316	ATN1;BMP5;BMPER;C16orf87;C1orf21;CA2;CCND2;CHST9;CLGN;DUSP6;ENC1;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;KIAA1324L;LIN28B;LINC00888;LPGAT1;LRP2;MEIS1;NAV1;PPFIBP1;PPP1R1A;PTMS;PTPN13;RHOBTB3;SLC40A1;SLC7A2;TIPARP;TP53I11;WLS;ZEB2;ZNF608
CP.1	transfac_pro__M07260	3.18	0.117	IKZF1 (directAnnotation). 		16	1285	ATN1;BMP5;C1orf21;CCND2;CHST9;FGF10;HAPLN1;HAS2;IGF2BP1;JAG1;LIN28B;LRP2;MEIS1;PPP1R1A;PTMS;PTPN13
CP.1	kznf__ZNF214_Imbeault2017_RP_ChIP-seq	3.17	0.117	ZNF214 (directAnnotation). 	ZNF444 (inferredBy_MotifSimilarity). 	29	2766	ATN1;BMP5;C1orf21;CCKBR;CCND2;CGNL1;CHST9;ENC1;FAM89A;FGF10;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;LIN28B;LPGAT1;LRP2;NAV1;NKX3-1;PPFIBP1;PRTG;PTMS;PTPN13;SLC40A1;SLC7A2;TIPARP;WLS;ZEB2
CP.1	transfac_pro__M03851	3.13	0.116	SPIB (directAnnotation). 		11	714	ATN1;CCND2;CHST9;HAPLN1;HAS2;IGF2BP1;ITM2C;LIN28B;PPFIBP1;PTPN13;ZEB2
CP.1	metacluster_144.8	3.12	0.116	ZNF30; ZNF30 (directAnnotation). 		40	4807	ATN1;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHIC2;CHST9;CITED2;DAB1;DUSP6;GATA6;GPC6;HAND2;HAPLN1;HAS2;ID1;IGF2BP1;JAG1;KIAA1324L;LAMA1;LIN28B;LPGAT1;LRRTM1;ORC6;PERP;PLCE1;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;TIPARP;TP53I11;USP27X;ZC3H6;ZEB2;ZNF608
CP.1	transfac_pro__M02027	3.1	0.115	PARP1 (directAnnotation). 		24	2149	ATN1;BMP5;CCND2;CHST9;FGF10;GATA6;GYPE;HACD2;HAND2;HAPLN1;IGF2BP1;ISL1;JAG1;KDR;LIN28B;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PTMS;WLS;ZEB2;ZNF608
CP.1	metacluster_24.2	3.09	0.115	HSF5; MBNL2; PAX4; PAX4; ZNF300; ZNF320; ZNF324; ZNF41; ZNF41; ZNF432; ZNF44; ZNF484; ZNF527; ZNF615; ZNF93 (directAnnotation). BCL6; PAX4; RELA; SP1 (inferredBy_Orthology). 	BPTF; CDC5L; E2F1; E2F6; EP300; EP300; EP300; EP300; ETS1; GABPA; GATA1; GATA2; GATA3; GATA4; GATA5; GATA6; GTF2F1; GTF2F1; GTF2F1; GTF2F1; HNF4A; HNF4A; HNF4A; HNF4A; HNF4G; HNF4G; HNF4G; HNF4G; IKZF1; IKZF3; IKZF3; MAZ; MAZ; MAZ; NKX3-2; NR2F1; NR2F1; NR2F1; NR2F1; NR2F2; NR2F2; NR2F2; NR2F2; NR3C1; PATZ1; PATZ1; PATZ1; PATZ1; PAX4; PAX4; PAX4; PAX4; PURA; PURA; PURA; PURA; RARA; RARB; RARG; RXRA; RXRB; RXRG; SMAD1; SP1; SP2; SP3; SP4; SPI1; STAT6; TAF1; TAF1; TAL1; TCF7L1; TCF7L1; TCF7L1; TCF7L1; TCF7L1; TCF7L1; TCF7L1; THRA; THRB; VEZF1; VEZF1; VEZF1; VEZF1; VEZF1; WRNIP1; ZBTB14; ZBTB17; ZBTB17; ZFHX2; ZFP69B; ZNF148; ZNF202; ZNF202; ZNF202; ZNF202; ZNF263; ZNF263; ZNF300; ZNF300; ZNF300; ZNF300; ZNF300; ZNF341; ZNF341; ZNF341; ZNF398; ZNF398; ZNF398; ZNF398; ZNF398; ZNF432; ZNF432; ZNF432; ZNF444; ZNF444; ZNF467; ZNF467; ZNF467; ZNF496; ZNF496; ZNF496; ZNF615; ZNF615; ZNF615; ZNF615; ZNF692; ZNF880; ZNF880 (inferredBy_MotifSimilarity). BCL6; BCL6; BCL6; BCL6; RELA; RELA; RELA; RELA; SP5; SP5; SP5 (inferredBy_MotifSimilarity_n_Orthology). 	45	4590	ATN1;BMP5;BMPER;C16orf87;C1orf21;CA2;CCKBR;CCND2;CGNL1;CHST9;CLGN;DAB1;DUSP6;ENC1;ENTPD4;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;JAG1;KDR;KIAA1324L;LAMA1;LIN28B;LINC00888;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PRTG;PTMS;PTPN13;RHOBTB3;SC5D;SLC40A1;SLC7A2;TIPARP;WLS;ZEB2;ZNF608
CP.1	transfac_pro__M06521	3.08	0.115	ZFP62 (directAnnotation). 		11	714	C16orf87;CGNL1;CLGN;ENC1;GATA6;HAPLN1;JAG1;PRTG;PTPN13;ZEB2;ZNF608
CP.1	jaspar__MA1965.1	3.07	0.114	SP5 (directAnnotation). 		19	1472	ATN1;C1orf21;CCND2;CGNL1;CHST9;DUSP6;HAS2;IGF2BP1;JAG1;LAMA1;LIN28B;LPGAT1;LRP2;PPP1R1A;PRTG;PTMS;SAMD11;TIPARP;ZEB2
CP.1	tfdimers__MD00455	3.04	0.114	ETS1; MZF1 (directAnnotation). 	CHURC1; ELF1; ELF5; EP300; ETS2; FLI1; GABPB1; GLI3; IKZF1; ING4; OVOL2; RUNX3; VDR; YY1; ZBTB14 (inferredBy_MotifSimilarity). 	19	1516	ATN1;CA2;CCND2;CHST9;FAM89A;FGF10;GPC6;HAS2;IGF2BP1;KIAA1324L;LIN28B;NAV1;PPP1R1A;PTMS;PTPN13;SEMA3E;SLC7A2;ZEB2;ZNF608
CP.1	hocomoco__PROX1_HUMAN.H11MO.0.D	3.02	0.113	PROX1 (directAnnotation). 		40	4336	ATN1;BMP5;BMPER;C16orf87;C1orf21;CA2;CCKBR;CCND2;CGNL1;CHST9;DAB1;DUSP6;ENC1;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;JAG1;LAMA1;LIN28B;LINC00888;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PRTG;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;WLS;ZEB2
CP.1	transfac_pro__M09738	3.02	0.113	ZNF511 (directAnnotation). 		44	4748	ATN1;BMP5;BMPER;C16orf87;C1orf21;CA2;CCND2;CGNL1;CHST9;CITED2;CLGN;DAB1;DUSP6;DYNC1I1;ENC1;ENTPD4;FAM89A;FGF10;GATA6;GPC6;HAPLN1;HAS2;IGF2BP1;ITM2C;JAG1;LAMA1;LIN28B;LPGAT1;LRP2;MEIS1;NAV1;PLCE1;PPFIBP1;PPP1R1A;PTMS;PTPN13;RHOBTB3;SAMD11;SC5D;SLC40A1;SLC7A2;TIPARP;WLS;ZEB2
CP.1	metacluster_66.1	3.01	0.113	MTF1; ZNF320; ZNF320; ZNF320; ZNF782 (directAnnotation). 		40	4748	ATN1;BMPER;C16orf87;C1orf21;CA2;CGNL1;CHIC2;CHST9;CLGN;DAB1;DUSP6;DYNC1I1;ENC1;ENTPD4;FAM89A;FGF10;GPC6;HAPLN1;HAS2;IGF2BP1;JAG1;KDR;KIAA1324L;LAMA1;LINC00888;LPGAT1;LRP2;NAV1;PLCE1;PPFIBP1;PRTG;PSTPIP2;PTPN13;RHOBTB3;SC5D;SLC40A1;SLC7A2;TIPARP;ZC3H6;ZEB2
