"signature"	"gene"	"PageRank"	"EigenCentrality"	"PPI_cat"	"strength"	"normalized.strength"	"annd"	"rank_by_PR"	"rank_by_strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"p.PageRank"	"rank_by_p.PR"	"p.annd"	"rank_by_p.ANND"
"CTS_11"	"Prkch"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Rhox5"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Sfrp1"	0.0184258221470283	0.102789829685273	"CTS"	0.0678732942982829	0.00135746588596566	5.91416371283086	23	16	16	7	NA	NA	NA	NA
"CTS_11"	"Sgce"	0.0331329969530829	0.00196372418122117	"CTS"	0.134557486010702	0.00269114972021405	3.22987524800343	11	9	9	21	NA	NA	NA	NA
"CTS_11"	"Sgpp1"	0.0286944045911047	0	"CTS"	0.00293559611875087	5.87119223750175e-05	1	14.5	31.5	31.5	31	NA	NA	NA	NA
"CTS_11"	"Shisa4"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Snx24"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Spats2l"	0.00430416068866571	5.98051687928466e-19	"CTS"	0	0	NA	42	42	42	NA	NA	NA	NA	NA
"CTS_11"	"Tmod1"	0.016260909547451	0.025262334860612	"CTS"	0.0523758652490349	0.0010475173049807	4.26758733139353	24	18	18	18	NA	NA	NA	NA
"CTS_11"	"Twist2"	0.0276526913304447	0.411223807897849	"CTS"	0.127788918316277	0.00255577836632554	8.01187501879884	16	11	11	2	NA	NA	NA	NA
"CTS_11"	"Vcam1"	0.0343620019740411	0.497010258239114	"CTS"	0.161815792905463	0.00323631585810927	7.31529782709442	9	6	6	3	NA	NA	NA	NA
"CTS_11"	"mt-Nd6"	0.0256681732751681	0.00104386863397028	"CTS"	0.0297808391862989	0.000595616783725979	2.0863136618813	17	24	24	24	NA	NA	NA	NA
"CTS_13"	"Adam15"	0.0052321561339194	0.044334025177805	"CTS"	0.0617344807643432	0.00104634713159904	16.4192452835899	42	32	32	10	NA	NA	NA	NA
"CTS_13"	"Adora2a"	0.00806995713741228	0.0366889568375474	"CTS"	0.0559210505567515	0.000947814416216127	18.059227298586	34	33	33	5	NA	NA	NA	NA
"CTS_13"	"Ampd2"	0.00377340820323605	0.000249285464875604	"CTS"	0.00701747361930752	0.000118940230835721	3	48	47	47	44	NA	NA	NA	NA
"CTS_13"	"Aqp8"	0.0102554950768325	0.00068788504032657	"CTS"	0.0487282699492221	0.00082590288049529	2.39736977207534	30	36	36	45	NA	NA	NA	NA
"CTS_13"	"BC028528"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"Bcl6b"	0.011385321407887	0.103084215636916	"CTS"	0.213020074827178	0.00361050974283352	11.3856001411355	27	22	22	30	NA	NA	NA	NA
"CTS_13"	"Cd38"	0.0203188988115921	0.262046043084688	"CTS"	0.399610058926364	0.00677305184620956	17.7562133451029	17	14	14	6	NA	NA	NA	NA
"CTS_13"	"Cd59a"	0.0142316955838219	0.128996870865083	"CTS"	0.241791401122847	0.00409815934106521	13.6521438210603	24	21	21	23	NA	NA	NA	NA
"CTS_13"	"Cdh5"	0.0770759849089314	0.962920371240715	"CTS"	1.86276270041831	0.0315722491596323	13.2081518555959	2	2	2	26	NA	NA	NA	NA
"CTS_13"	"Ctla2a"	0.0203143866455811	0.0482809699299199	"CTS"	0.442439826515928	0.00749898011043945	4.19866613783146	18	13	13	42	NA	NA	NA	NA
